,theta i [rad],r orb [AU],v orb [km s-1],ang orb [rad],r L1 [AU],v i [km s-1],ang i [rad],a p [AU],e p,theta p i [rad],flag impact,v imp [km s-1],ang imp [rad]
0,0.0,0.3897,94.5215548296,1.57079632679,0.184902706212,9.45215548296,1.57079632679,0.0933200204311,0.981383044692,3.14159265359,1.0,610.098191654,0.90692191169
1,0.00125688843912,0.389700135226,94.5215364394,1.57134848383,0.184902770374,9.45226677075,1.57631785885,0.0933200737648,0.981383172817,3.14169739808,1.0,610.098196108,0.906924360621
2,0.00251377687825,0.389700540904,94.5214812687,1.57190064081,0.184902962858,9.45260062609,1.58183916048,0.0933202337661,0.981383557189,3.14180214037,1.0,610.098209469,0.906931707391
3,0.00377066531737,0.389701217035,94.5213893176,1.57245279767,0.184903283665,9.45315702486,1.58736000132,0.0933205004358,0.981384197799,3.14190687823,1.0,610.098231737,0.906943951933
4,0.00502755375649,0.389702163621,94.5212605861,1.57300495435,0.184903732796,9.4539359269,1.59288015113,0.0933208737755,0.981385094634,3.14201160947,1.0,610.098262912,0.906961094139
5,0.00628444219562,0.389703380665,94.5210950743,1.57355711079,0.184904310252,9.45493727598,1.59839937989,0.0933213537869,0.981386247674,3.14211633187,1.0,610.098302995,0.906983133853
6,0.00754133063474,0.389704868169,94.5208927822,1.57410926694,0.184905016034,9.45616099986,1.60391745782,0.0933219404728,0.981387656893,3.14222104323,1.0,610.098351985,0.907010070877
7,0.00879821907387,0.389706626137,94.52065371,1.57466142272,0.184905850145,9.45760701028,1.60943415547,0.0933226338361,0.981389322261,3.14232574133,1.0,610.098409882,0.907041904968
8,0.010055107513,0.389708654574,94.5203778576,1.5752135781,0.184906812587,9.45927520302,1.61494924379,0.0933234338806,0.98139124374,3.14243042397,1.0,610.098476686,0.90707863584
9,0.0113119959521,0.389710953486,94.5200652253,1.575765733,0.184907903362,9.46116545792,1.62046249417,0.0933243406104,0.981393421289,3.14253508894,1.0,610.098552397,0.907120263163
10,0.0125688843912,0.389713522877,94.5197158132,1.57631788736,0.184909122473,9.46327763892,1.62597367854,0.0933253540304,0.98139585486,3.14263973403,1.0,610.098637015,0.90716678656
11,0.0138257728304,0.389716362756,94.5193296214,1.57687004113,0.184910469922,9.46561159413,1.63148256939,0.0933264741459,0.981398544398,3.14274435703,1.0,610.098730539,0.907218205615
12,0.0150826612695,0.389719473128,94.51890665,1.57742219425,0.184911945715,9.46816715586,1.63698893989,0.0933277009627,0.981401489845,3.14284895573,1.0,610.09883297,0.907274519865
13,0.0163395497086,0.389722854003,94.5184468992,1.57797434666,0.184913549853,9.47094414067,1.64249256387,0.0933290344875,0.981404691137,3.14295352792,1.0,610.098944307,0.907335728802
14,0.0175964381477,0.389726505388,94.5179503693,1.57852649829,0.184915282342,9.47394234948,1.64799321599,0.0933304747272,0.981408148202,3.1430580714,1.0,610.09906455,0.907401831878
15,0.0188533265869,0.389730427293,94.5174170605,1.57907864909,0.184917143186,9.4771615676,1.65349067171,0.0933320216894,0.981411860964,3.14316258396,1.0,610.0991937,0.907472828498
16,0.020110215026,0.389734619729,94.5168469728,1.579630799,0.18491913239,9.48060156479,1.65898470738,0.0933336753823,0.981415829342,3.14326706339,1.0,610.099331754,0.907548718025
17,0.0213671034651,0.389739082707,94.5162401067,1.58018294797,0.184921249959,9.4842620954,1.66447510033,0.0933354358147,0.981420053249,3.14337150748,1.0,610.099478715,0.907629499778
18,0.0226239919042,0.389743816237,94.5155964623,1.58073509592,0.184923495898,9.48814289841,1.66996162889,0.0933373029957,0.981424532591,3.14347591403,1.0,610.09963458,0.907715173031
19,0.0238808803434,0.389748820332,94.5149160399,1.5812872428,0.184925870214,9.49224369751,1.67544407247,0.0933392769354,0.98142926727,3.14358028082,1.0,610.099799351,0.907805737017
20,0.0251377687825,0.389754095005,94.5141988398,1.58183938856,0.184928372911,9.49656420123,1.68092221162,0.093341357644,0.981434257181,3.14368460565,1.0,610.099973026,0.907901190924
21,0.0263946572216,0.389759640269,94.5134448623,1.58239153312,0.184931003998,9.50110410305,1.68639582808,0.0933435451327,0.981439502215,3.14378888631,1.0,610.100155606,0.908001533897
22,0.0276515456607,0.38976545614,94.5126541076,1.58294367644,0.18493376348,9.50586308143,1.69186470483,0.0933458394129,0.981445002257,3.1438931206,1.0,610.10034709,0.908106765037
23,0.0289084340998,0.389771542631,94.5118265762,1.58349581846,0.184936651365,9.5108408,1.69732862616,0.0933482404967,0.981450757184,3.14399730631,1.0,610.100547478,0.908216883404
24,0.030165322539,0.38977789976,94.5109622683,1.5840479591,0.18493966766,9.51603690766,1.70278737772,0.0933507483969,0.981456766871,3.14410144123,1.0,610.100756769,0.908331888013
25,0.0314222109781,0.389784527541,94.5100611844,1.58460009833,0.184942812373,9.52145103865,1.70824074658,0.0933533631267,0.981463031184,3.14420552316,1.0,610.100974963,0.908451777836
26,0.0326790994172,0.389791425992,94.5091233247,1.58515223607,0.184946085512,9.52708281273,1.71368852128,0.0933560846999,0.981469549987,3.14430954989,1.0,610.101202061,0.908576551802
27,0.0339359878563,0.389798595132,94.5081486898,1.58570437226,0.184949487086,9.53293183528,1.71913049187,0.0933589131309,0.981476323135,3.14441351922,1.0,610.10143806,0.9087062088
28,0.0351928762955,0.389806034978,94.5071372798,1.58625650685,0.184953017103,9.53899769743,1.72456644997,0.0933618484346,0.981483350479,3.14451742893,1.0,610.101682962,0.908840747673
29,0.0364497647346,0.38981374555,94.5060890954,1.58680863978,0.184956675573,9.54527997623,1.72999618885,0.0933648906265,0.981490631863,3.14462127683,1.0,610.101936766,0.908980167223
30,0.0377066531737,0.389821726868,94.5050041369,1.58736077098,0.184960462504,9.55177823474,1.73541950341,0.0933680397227,0.981498167129,3.14472506071,1.0,610.102199471,0.909124466208
31,0.0389635416128,0.389829978952,94.5038824048,1.5879129004,0.184964377908,9.5584920222,1.7408361903,0.0933712957399,0.981505956109,3.14482877836,1.0,610.102471076,0.909273643347
32,0.040220430052,0.389838501824,94.5027238995,1.58846502798,0.184968421793,9.5654208742,1.74624604793,0.0933746586952,0.981513998632,3.14493242759,1.0,610.102751582,0.909427697313
33,0.0414773184911,0.389847295506,94.5015286216,1.58901715367,0.18497259417,9.57256431279,1.75164887652,0.0933781286065,0.98152229452,3.14503600618,1.0,610.103040988,0.90958662674
34,0.0427342069302,0.38985636002,94.5002965714,1.58956927739,0.184976895051,9.57992184668,1.75704447815,0.093381705492,0.98153084359,3.14513951194,1.0,610.103339293,0.909750430218
35,0.0439910953693,0.389865695391,94.4990277495,1.59012139909,0.184981324446,9.58749297136,1.76243265679,0.0933853893706,0.981539645655,3.14524294266,1.0,610.103646498,0.909919106296
36,0.0452479838085,0.389875301641,94.4977221565,1.59067351871,0.184985882366,9.59527716927,1.76781321837,0.0933891802619,0.981548700519,3.14534629613,1.0,610.103962601,0.910092653482
37,0.0465048722476,0.389885178796,94.4963797929,1.59122563619,0.184990568824,9.60327391001,1.7731859708,0.0933930781859,0.981558007982,3.14544957017,1.0,610.104287601,0.910271070241
38,0.0477617606867,0.389895326882,94.4950006592,1.59177775147,0.184995383832,9.61148265045,1.77855072401,0.0933970831632,0.981567567841,3.14555276255,1.0,610.1046215,0.910454354998
39,0.0490186491258,0.389905745924,94.4935847559,1.5923298645,0.185000327402,9.61990283493,1.78390728999,0.0934011952149,0.981577379882,3.14565587109,1.0,610.104964295,0.910642506137
40,0.0502755375649,0.38991643595,94.4921320838,1.59288197521,0.185005399546,9.62853389545,1.78925548284,0.0934054143629,0.98158744389,3.14575889358,1.0,610.105315986,0.910835521999
41,0.0515324260041,0.389927396988,94.4906426434,1.59343408354,0.185010600279,9.63737525181,1.7945951188,0.0934097406293,0.981597759642,3.14586182782,1.0,610.105676574,0.911033400886
42,0.0527893144432,0.389938629065,94.4891164352,1.59398618944,0.185015929613,9.64642631184,1.79992601626,0.0934141740372,0.981608326911,3.14596467161,1.0,610.106046056,0.911236141059
43,0.0540462028823,0.38995013221,94.48755346,1.59453829284,0.185021387562,9.65568647154,1.80524799584,0.0934187146099,0.981619145463,3.14606742275,1.0,610.106424433,0.911443740738
44,0.0553030913214,0.389961906454,94.4859537183,1.59509039368,0.18502697414,9.6651551153,1.81056088038,0.0934233623714,0.981630215059,3.14617007904,1.0,610.106811704,0.911656198103
