,theta i [rad],r orb [AU],v orb [km s-1],ang orb [rad],r L1 [AU],v i [km s-1],ang i [rad],a p [AU],e p,theta p i [rad],flag impact,v imp [km s-1],ang imp [rad]
0,0.0,0.8109,61.076148599,1.57079632679,0.384751354861,6.1076148599,1.57079632679,0.193944138639,0.983825639492,3.14159265359,1.0,614.128008045,0.96674348984
1,0.00125688843912,0.810900227147,61.0761375578,1.57124205778,0.384751462637,6.10765842314,1.57525361867,0.193944215966,0.983825728217,3.14166593277,1.0,614.12800953,0.96673983319
2,0.00251377687825,0.810900908588,61.0761044339,1.57168778864,0.384751785963,6.1077891109,1.57971080131,0.193944447947,0.98382599439,3.14173921068,1.0,614.128013986,0.966728863349
3,0.00377066531737,0.810902044325,61.0760492275,1.57213351923,0.384752324841,6.10800691739,1.5841677655,0.193944834583,0.983826438007,3.14181248607,1.0,614.128021412,0.966710580647
4,0.00502755375649,0.81090363436,61.0759719386,1.57257924942,0.384753079272,6.10831183295,1.58862440206,0.193945375875,0.98382705906,3.14188575766,1.0,614.128031808,0.966684985633
5,0.00628444219562,0.810905678694,61.0758725672,1.57302497908,0.384754049257,6.10870384405,1.59308060187,0.193946071825,0.983827857539,3.1419590242,1.0,614.128045175,0.966652079076
6,0.00754133063474,0.810908177333,61.0757511133,1.57347070809,0.384755234797,6.10918293331,1.59753625589,0.193946922436,0.983828833428,3.14203228443,1.0,614.128061512,0.966611861964
7,0.00879821907387,0.810911130281,61.0756075771,1.5739164363,0.384756635895,6.10974907948,1.60199125515,0.193947927709,0.983829986711,3.14210553707,1.0,614.128080819,0.966564335503
8,0.010055107513,0.810914537542,61.0754419586,1.57436216359,0.384758252554,6.11040225748,1.60644549082,0.193949087648,0.983831317369,3.14217878087,1.0,614.128103097,0.966509501121
9,0.0113119959521,0.810918399123,61.0752542579,1.57480788982,0.384760084775,6.11114243836,1.6108988542,0.193950402257,0.983832825377,3.14225201457,1.0,614.128128345,0.966447360463
10,0.0125688843912,0.810922715031,61.075044475,1.57525361486,0.384762132563,6.11196958935,1.61535123673,0.19395187154,0.98383451071,3.14232523689,1.0,614.128156563,0.966377915391
11,0.0138257728304,0.810927485273,61.0748126101,1.57569933858,0.384764395922,6.11288367384,1.61980253001,0.193953495502,0.983836373337,3.14239844658,1.0,614.128187751,0.966301167987
12,0.0150826612695,0.810932709858,61.0745586634,1.57614506084,0.384766874854,6.11388465138,1.62425262585,0.193955274147,0.983838413228,3.14247164237,1.0,614.128221909,0.96621712055
13,0.0163395497086,0.810938388796,61.0742826348,1.57659078152,0.384769569365,6.11497247773,1.62870141625,0.193957207483,0.983840630345,3.142544823,1.0,614.128259038,0.966125775596
14,0.0175964381477,0.810944522095,61.0739845246,1.57703650048,0.384772479459,6.11614710483,1.63314879344,0.193959295514,0.98384302465,3.14261798721,1.0,614.128299136,0.966027135859
15,0.0188533265869,0.810951109768,61.0736643328,1.5774822176,0.384775605141,6.11740848082,1.6375946499,0.193961538247,0.983845596102,3.14269113374,1.0,614.128342205,0.965921204288
16,0.020110215026,0.810958151826,61.0733220598,1.57792793273,0.384778946418,6.11875655006,1.64203887835,0.193963935691,0.983848344655,3.14276426131,1.0,614.128388243,0.965807984049
17,0.0213671034651,0.810965648281,61.0729577055,1.57837364574,0.384782503295,6.12019125314,1.6464813718,0.193966487851,0.983851270261,3.14283736868,1.0,614.128437251,0.96568747852
18,0.0226239919042,0.810973599148,61.0725712703,1.57881935651,0.384786275778,6.12171252688,1.65092202356,0.193969194738,0.98385437287,3.14291045457,1.0,614.128489229,0.965559691297
19,0.0238808803434,0.810982004439,61.0721627543,1.57926506491,0.384790263874,6.12332030434,1.65536072725,0.193972056358,0.983857652427,3.14298351772,1.0,614.128544176,0.96542462619
20,0.0251377687825,0.810990864171,61.0717321577,1.57971077079,0.384794467591,6.12501451489,1.65979737682,0.193975072722,0.983861108875,3.14305655687,1.0,614.128602093,0.965282287218
21,0.0263946572216,0.811000178358,61.0712794807,1.58015647402,0.384798886935,6.12679508413,1.66423186658,0.193978243839,0.983864742153,3.14312957077,1.0,614.12866298,0.965132678618
22,0.0276515456607,0.811009947018,61.0708047235,1.58060217449,0.384803521915,6.12866193398,1.6686640912,0.193981569719,0.983868552198,3.14320255814,1.0,614.128726835,0.964975804834
23,0.0289084340998,0.811020170167,61.0703078864,1.58104787204,0.384808372538,6.13061498268,1.67309394572,0.193985050373,0.983872538944,3.14327551772,1.0,614.12879366,0.964811670524
24,0.030165322539,0.811030847825,61.0697889696,1.58149356656,0.384813438814,6.13265414479,1.67752132561,0.193988685813,0.98387670232,3.14334844826,1.0,614.128863455,0.964640280554
25,0.0314222109781,0.81104198001,61.0692479734,1.5819392579,0.384818720752,6.13477933121,1.68194612673,0.193992476048,0.983881042255,3.14342134848,1.0,614.128936218,0.96446164
26,0.0326790994172,0.811053566741,61.0686848981,1.58238494594,0.38482421836,6.13699044923,1.68636824538,0.193996421093,0.983885558671,3.14349421714,1.0,614.12901195,0.964275754146
27,0.0339359878563,0.81106560804,61.0680997439,1.58283063055,0.384829931649,6.13928740251,1.69078757833,0.19400052096,0.98389025149,3.14356705296,1.0,614.129090651,0.964082628483
28,0.0351928762955,0.811078103929,61.0674925111,1.58327631158,0.384835860629,6.14167009111,1.69520402281,0.194004775661,0.983895120631,3.14363985469,1.0,614.12917232,0.963882268709
29,0.0364497647346,0.811091054428,61.0668632,1.58372198891,0.38484200531,6.14413841152,1.69961747651,0.19400918521,0.983900166008,3.14371262107,1.0,614.129256959,0.963674680726
30,0.0377066531737,0.811104459562,61.0662118109,1.58416766242,0.384848365704,6.1466922567,1.70402783765,0.194013749622,0.983905387532,3.14378535083,1.0,614.129344565,0.963459870642
31,0.0389635416128,0.811118319354,61.0655383442,1.58461333195,0.384854941822,6.14933151604,1.70843500494,0.19401846891,0.983910785113,3.14385804271,1.0,614.12943514,0.963237844765
32,0.040220430052,0.811132633829,61.0648428002,1.58505899739,0.384861733675,6.15205607546,1.71283887766,0.194023343091,0.983916358656,3.14393069546,1.0,614.129528683,0.963008609607
33,0.0414773184911,0.811147403012,61.0641251792,1.5855046586,0.384868741275,6.15486581738,1.71723935558,0.19402837218,0.983922108063,3.14400330781,1.0,614.129625194,0.962772171882
34,0.0427342069302,0.81116262693,61.0633854816,1.58595031544,0.384875964636,6.15776062075,1.72163633908,0.194033556193,0.983928033234,3.14407587849,1.0,614.129724672,0.9625285385
35,0.0439910953693,0.81117830561,61.0626237077,1.5863959678,0.384883403769,6.1607403611,1.72602972909,0.194038895147,0.983934134066,3.14414840627,1.0,614.129827119,0.962277716572
36,0.0452479838085,0.81119443908,61.061839858,1.58684161552,0.384891058689,6.16380491054,1.73041942714,0.194044389058,0.983940410451,3.14422088986,1.0,614.129932533,0.962019713406
37,0.0465048722476,0.811211027368,61.0610339327,1.58728725849,0.384898929408,6.1669541378,1.73480533536,0.194050037944,0.98394686228,3.14429332802,1.0,614.130040914,0.961754536503
38,0.0477617606867,0.811228070504,61.0602059324,1.58773289656,0.384907015941,6.17018790826,1.7391873565,0.194055841824,0.983953489439,3.14436571947,1.0,614.130152262,0.961482193562
39,0.0490186491258,0.811245568519,61.0593558574,1.58817852961,0.384915318303,6.17350608396,1.74356539395,0.194061800716,0.983960291813,3.14443806298,1.0,614.130266578,0.961202692472
40,0.0502755375649,0.811263521444,61.0584837082,1.5886241575,0.384923836507,6.17690852362,1.74793935173,0.194067914639,0.983967269283,3.14451035726,1.0,614.13038386,0.960916041315
41,0.0515324260041,0.81128192931,61.0575894851,1.58906978011,0.38493257057,6.18039508272,1.75230913455,0.194074183613,0.983974421726,3.14458260108,1.0,614.130504109,0.960622248364
42,0.0527893144432,0.811300792151,61.0566731887,1.58951539729,0.384941520506,6.18396561348,1.75667464777,0.194080607658,0.983981749017,3.14465479316,1.0,614.130627324,0.96032132208
43,0.0540462028823,0.81132011,61.0557348193,1.58996100892,0.384950686332,6.18761996487,1.76103579743,0.194087186794,0.983989251028,3.14472693225,1.0,614.130753505,0.96001327111
44,0.0553030913214,0.811339882891,61.0547743774,1.59040661487,0.384960068065,6.19135798273,1.76539249029,0.194093921043,0.983996927627,3.14479901709,1.0,614.130882653,0.959698104288
45,0.0565599797606,0.81136011086,61.0537918636,1.59085221499,0.38496966572,6.1951795097,1.76974463381,0.194100810427,0.98400477868,3.14487104643,1.0,614.131014766,0.959375830633
46,0.0578168681997,0.811380793943,61.0527872783,1.59129780916,0.384979479314,6.19908438531,1.77409213616,0.194107854966,0.984012804049,3.144943019,1.0,614.131149845,0.959046459345
47,0.0590737566388,0.811401932176,61.051760622,1.59174339725,0.384989508867,6.203072446,1.77843490628,0.194115054685,0.984021003593,3.14501493355,1.0,614.131287889,0.958709999807
48,0.0603306450779,0.811423525598,61.0507118951,1.59218897913,0.384999754394,6.20714352512,1.78277285383,0.194122409605,0.98402937717,3.14508678882,1.0,614.131428898,0.958366461579
49,0.0615875335171,0.811445574246,61.0496410983,1.59263455465,0.385010215915,6.21129745301,1.78710588922,0.194129919752,0.984037924631,3.14515858356,1.0,614.131572873,0.958015854401
50,0.0628444219562,0.811468078161,61.0485482321,1.5930801237,0.385020893448,6.21553405702,1.79143392365,0.194137585147,0.984046645826,3.14523031651,1.0,614.131719812,0.957658188188
51,0.0641013103953,0.811491037381,61.047433297,1.59352568613,0.385031787012,6.21985316151,1.7957568691,0.194145405818,0.984055540604,3.14530198641,1.0,614.131869716,0.95729347303
52,0.0653581988344,0.811514451949,61.0462962935,1.59397124181,0.385042896627,6.22425458792,1.80007463832,0.194153381787,0.984064608807,3.14537359201,1.0,614.132022583,0.956921719189
53,0.0666150872736,0.811538321906,61.0451372222,1.59441679062,0.385054222312,6.2287381548,1.80438714487,0.194161513082,0.984073850277,3.14544513205,1.0,614.132178415,0.956542937099
54,0.0678719757127,0.811562647294,61.0439560837,1.59486233241,0.385065764087,6.23330367782,1.80869430312,0.194169799728,0.984083264852,3.14551660527,1.0,614.132337211,0.956157137363
55,0.0691288641518,0.811587428156,61.0427528785,1.59530786706,0.385077521974,6.23795096982,1.81299602827,0.194178241752,0.984092852365,3.14558801043,1.0,614.13249897,0.955764330751
56,0.0703857525909,0.811612664538,61.0415276074,1.59575339444,0.385089495993,6.24267984086,1.81729223632,0.19418683918,0.984102612649,3.14565934627,1.0,614.132663692,0.955364528198
57,0.0716426410301,0.811638356483,61.0402802708,1.5961989144,0.385101686165,6.24749009822,1.82158284414,0.194195592041,0.984112545532,3.14573061153,1.0,614.132831377,0.954957740805
58,0.0728995294692,0.811664504038,61.0390108694,1.59664442682,0.385114092513,6.25238154648,1.82586776942,0.194204500363,0.98412265084,3.14580180495,1.0,614.133002025,0.954543979834
59,0.0741564179083,0.811691107249,61.0377194038,1.59708993157,0.385126715057,6.25735398751,1.83014693071,0.194213564174,0.984132928395,3.1458729253,1.0,614.133175636,0.954123256705
60,0.0754133063474,0.811718166164,61.0364058747,1.5975354285,0.385139553822,6.26240722054,1.83442024744,0.194222783503,0.984143378016,3.14594397131,1.0,614.133352208,0.953695583001
61,0.0766701947865,0.811745680831,61.0350702827,1.5979809175,0.385152608829,6.26754104217,1.83868763989,0.19423215838,0.984153999519,3.14601494172,1.0,614.133531743,0.953260970456
62,0.0779270832257,0.811773651298,61.0337126285,1.59842639843,0.385165880102,6.27275524644,1.84294902921,0.194241688835,0.984164792719,3.1460858353,1.0,614.133714239,0.952819430963
63,0.0791839716648,0.811802077617,61.0323329127,1.59887187115,0.385179367664,6.27804962484,1.84720433747,0.194251374898,0.984175757424,3.14615665078,1.0,614.133899696,0.952370976565
64,0.0804408601039,0.811830959836,61.0309311361,1.59931733552,0.38519307154,6.28342396635,1.85145348759,0.194261216601,0.984186893442,3.14622738692,1.0,614.134088115,0.951915619455
65,0.081697748543,0.811860298009,61.0295072992,1.59976279143,0.385206991754,6.28887805748,1.85569640341,0.194271213976,0.984198200577,3.14629804246,1.0,614.134279494,0.951453371977
66,0.0829546369822,0.811890092187,61.0280614029,1.60020823874,0.385221128331,6.29441168233,1.85993300968,0.194281367054,0.98420967863,3.14636861615,1.0,614.134473833,0.95098424662
67,0.0842115254213,0.811920342423,61.0265934479,1.6006536773,0.385235481296,6.30002462259,1.86416323203,0.194291675868,0.984221327399,3.14643910674,1.0,614.134671133,0.950508256018
68,0.0854684138604,0.811951048771,61.0251034348,1.601099107,0.385250050674,6.3057166576,1.86838699704,0.194302140452,0.984233146678,3.14650951298,1.0,614.134871392,0.950025412948
69,0.0867253022995,0.811982211287,61.0235913644,1.60154452769,0.385264836493,6.31148756438,1.8726042322,0.194312760838,0.984245136259,3.14657983362,1.0,614.135074611,0.949535730327
70,0.0879821907387,0.812013830024,61.0220572375,1.60198993924,0.385279838777,6.31733711768,1.8768148659,0.194323537061,0.984257295931,3.14665006742,1.0,614.135280789,0.949039221211
71,0.0892390791778,0.812045905041,61.0205010548,1.60243534153,0.385295057553,6.32326509002,1.88101882749,0.194334469156,0.98426962548,3.14672021312,1.0,614.135489926,0.948535898791
72,0.0904959676169,0.812078436394,61.0189228171,1.60288073441,0.38531049285,6.32927125168,1.88521604725,0.194345557157,0.984282124687,3.14679026947,1.0,614.135702021,0.948025776397
73,0.091752856056,0.81211142414,61.0173225252,1.60332611776,0.385326144693,6.33535537083,1.88940645639,0.194356801101,0.984294793334,3.14686023524,1.0,614.135917074,0.947508867485
74,0.0930097444952,0.81214486834,61.0157001798,1.60377149144,0.385342013112,6.34151721349,1.89358998708,0.194368201024,0.984307631195,3.14693010916,1.0,614.136135085,0.946985185647
75,0.0942666329343,0.812178769051,61.0140557818,1.60421685531,0.385358098135,6.34775654358,1.8977665724,0.194379756962,0.984320638044,3.14699988999,1.0,614.136356054,0.9464547446
76,0.0955235213734,0.812213126336,61.012389332,1.60466220925,0.385374399789,6.35407312302,1.90193614643,0.194391468952,0.984333813652,3.14706957649,1.0,614.13657998,0.945917558188
77,0.0967804098125,0.812247940255,61.0107008312,1.60510755313,0.385390918105,6.36046671168,1.90609864416,0.194403337032,0.984347157786,3.1471391674,1.0,614.136806862,0.945373640379
78,0.0980372982517,0.81228321087,61.0089902802,1.6055528868,0.385407653112,6.36693706748,1.91025400156,0.19441536124,0.98436067021,3.14720866149,1.0,614.137036701,0.944823005265
79,0.0992941866908,0.812318938244,61.0072576799,1.60599821014,0.385424604839,6.37348394642,1.91440215554,0.194427541615,0.984374350685,3.14727805751,1.0,614.137269496,0.944265667053
80,0.10055107513,0.812355122441,61.0055030312,1.60644352301,0.385441773316,6.3801071026,1.91854304399,0.194439878196,0.98438819897,3.14734735421,1.0,614.137505246,0.943701640074
81,0.101807963569,0.812391763524,61.0037263349,1.60688882528,0.385459158575,6.38680628828,1.92267660574,0.194452371023,0.984402214819,3.14741655035,1.0,614.137743952,0.943130938769
82,0.103064852008,0.812428861561,61.001927592,1.60733411681,0.385476760647,6.39358125388,1.9268027806,0.194465020136,0.984416397985,3.14748564468,1.0,614.137985612,0.942553577696
83,0.104321740447,0.812466416616,61.0001068032,1.60777939748,0.385494579562,6.4004317481,1.93092150935,0.194477825575,0.984430748216,3.14755463596,1.0,614.138230227,0.941969571523
84,0.105578628886,0.812504428757,60.9982639695,1.60822466715,0.385512615352,6.40735751786,1.93503273371,0.194490787382,0.984445265259,3.14762352295,1.0,614.138477797,0.941378935028
85,0.106835517326,0.812542898051,60.9963990918,1.60866992568,0.38553086805,6.41435830842,1.93913639638,0.194503905599,0.984459948856,3.14769230441,1.0,614.138728319,0.940781683094
86,0.108092405765,0.812581824567,60.994512171,1.60911517295,0.385549337689,6.42143386335,1.94323244105,0.194517180268,0.984474798748,3.14776097909,1.0,614.138981796,0.940177830713
87,0.109349294204,0.812621208375,60.9926032082,1.60956040881,0.3855680243,6.42858392465,1.94732081233,0.194530611431,0.984489814671,3.14782954575,1.0,614.139238225,0.939567392975
88,0.110606182643,0.812661049544,60.9906722041,1.61000563314,0.385586927918,6.43580823269,1.95140145584,0.194544199132,0.984504996358,3.14789800315,1.0,614.139497606,0.938950385073
89,0.111863071082,0.812701348146,60.9887191598,1.6104508458,0.385606048576,6.44310652636,1.95547431815,0.194557943414,0.984520343541,3.14796635005,1.0,614.13975994,0.9383268223
90,0.113119959521,0.812742104252,60.9867440762,1.61089604666,0.385625386308,6.45047854299,1.9595393468,0.194571844322,0.984535855947,3.14803458521,1.0,614.140025225,0.937696720043
91,0.11437684796,0.812783317936,60.9847469544,1.61134123558,0.385644941149,6.45792401851,1.96359649028,0.194585901901,0.984551533302,3.14810270739,1.0,614.140293462,0.937060093784
92,0.115633736399,0.81282498927,60.9827277953,1.61178641243,0.385664713133,6.46544268737,1.96764569808,0.194600116195,0.984567375325,3.14817071535,1.0,614.140564649,0.936416959097
93,0.116890624839,0.812867118329,60.9806865999,1.61223157708,0.385684702296,6.47303428268,1.97168692062,0.194614487251,0.984583381738,3.14823860786,1.0,614.140838787,0.935767331646
94,0.118147513278,0.812909705188,60.9786233692,1.6126767294,0.385704908674,6.48069853618,1.9757201093,0.194629015115,0.984599552253,3.14830638367,1.0,614.141115875,0.935111227182
95,0.119404401717,0.812952749923,60.9765381042,1.61312186924,0.385725332302,6.4884351783,1.97974521647,0.194643699833,0.984615886586,3.14837404155,1.0,614.141395912,0.934448661544
96,0.120661290156,0.812996252611,60.9744308061,1.61356699648,0.385745973217,6.49624393823,1.98376219546,0.194658541453,0.984632384444,3.14844158025,1.0,614.141678898,0.933779650651
97,0.121918178595,0.813040213329,60.9723014757,1.61401211098,0.385766831456,6.50412454389,1.98777100053,0.194673540024,0.984649045535,3.14850899856,1.0,614.141964833,0.933104210507
98,0.123175067034,0.813084632156,60.9701501142,1.61445721262,0.385787907055,6.51207672202,1.99177158691,0.194688695592,0.984665869561,3.14857629522,1.0,614.142253716,0.932422357193
99,0.124431955473,0.813129509171,60.9679767227,1.61490230124,0.385809200053,6.52010019821,1.99576391078,0.194704008207,0.984682856224,3.14864346901,1.0,614.142545547,0.931734106867
100,0.125688843912,0.813174844454,60.9657813022,1.61534737673,0.385830710488,6.52819469691,1.99974792928,0.194719477919,0.98470000522,3.14871051869,1.0,614.142840325,0.931039475763
101,0.126945732351,0.813220638085,60.9635638538,1.61579243894,0.385852438397,6.53635994152,2.00372360047,0.194735104777,0.984717316245,3.14877744302,1.0,614.143138049,0.930338480187
102,0.128202620791,0.813266890148,60.9613243787,1.61623748775,0.38587438382,6.54459565434,2.00769088337,0.194750888832,0.984734788989,3.14884424078,1.0,614.14343872,0.929631136517
103,0.12945950923,0.813313600723,60.9590628778,1.61668252301,0.385896546796,6.55290155672,2.01164973796,0.194766830134,0.984752423141,3.14891091073,1.0,614.143742337,0.928917461198
104,0.130716397669,0.813360769894,60.9567793524,1.6171275446,0.385918927363,6.56127736898,2.01560012511,0.194782928735,0.984770218387,3.14897745163,1.0,614.144048899,0.928197470743
105,0.131973286108,0.813408397746,60.9544738036,1.61757255238,0.385941525563,6.56972281054,2.01954200665,0.194799184687,0.984788174408,3.14904386226,1.0,614.144358406,0.927471181729
106,0.133230174547,0.813456484363,60.9521462325,1.61801754622,0.385964341436,6.57823759991,2.02347534536,0.194815598042,0.984806290884,3.14911014138,1.0,614.144670857,0.926738610796
107,0.134487062986,0.813505029831,60.9497966402,1.61846252598,0.385987375021,6.58682145471,2.0274001049,0.194832168854,0.984824567492,3.14917628777,1.0,614.144986252,0.925999774642
108,0.135743951425,0.813554034237,60.947425028,1.61890749153,0.386010626361,6.59547409176,2.03131624987,0.194848897175,0.984843003904,3.14924230019,1.0,614.145304591,0.925254690027
109,0.137000839864,0.813603497667,60.945031397,1.61935244273,0.386034095496,6.60419522706,2.03522374581,0.19486578306,0.984861599791,3.14930817742,1.0,614.145625872,0.924503373763
110,0.138257728304,0.813653420211,60.9426157484,1.61979737945,0.386057782469,6.61298457586,2.03912255913,0.194882826563,0.984880354821,3.14937391823,1.0,614.145950096,0.92374584272
111,0.139514616743,0.813703801958,60.9401780835,1.62024230156,0.386081687322,6.62184185268,2.04301265717,0.194900027739,0.984899268657,3.14943952138,1.0,614.146277261,0.922982113818
112,0.140771505182,0.813754642997,60.9377184033,1.62068720891,0.386105810097,6.63076677134,2.04689400818,0.194917386644,0.98491834096,3.14950498566,1.0,614.146607368,0.922212204027
113,0.142028393621,0.813805943418,60.9352367091,1.62113210139,0.386130150837,6.639759045,2.05076658128,0.194934903334,0.984937571391,3.14957030983,1.0,614.146940415,0.921436130366
114,0.14328528206,0.813857703314,60.9327330022,1.62157697885,0.386154709587,6.6488183862,2.05463034651,0.194952577866,0.984956959602,3.14963549268,1.0,614.147276403,0.9206539099
115,0.144542170499,0.813909922777,60.9302072839,1.62202184115,0.386179486389,6.65794450689,2.05848527477,0.194970410296,0.984976505248,3.14970053296,1.0,614.14761533,0.919865559738
116,0.145799058938,0.813962601899,60.9276595552,1.62246668817,0.386204481288,6.66713711845,2.06233133786,0.194988400682,0.984996207977,3.14976542947,1.0,614.147957196,0.91907109703
117,0.147055947377,0.814015740776,60.9250898176,1.62291151976,0.386229694328,6.67639593174,2.06616850846,0.195006549082,0.985016067435,3.14983018097,1.0,614.148302001,0.918270538967
118,0.148312835817,0.814069339501,60.9224980723,1.6233563358,0.386255125555,6.68572065713,2.06999676009,0.195024855555,0.985036083266,3.14989478625,1.0,614.148649744,0.917463902779
119,0.149569724256,0.81412339817,60.9198843205,1.62380113615,0.386280775014,6.6951110045,2.07381606716,0.19504332016,0.98505625511,3.14995924407,1.0,614.149000425,0.916651205731
120,0.150826612695,0.81417791688,60.9172485637,1.62424592067,0.38630664275,6.70456668334,2.07762640492,0.195061942957,0.985076582605,3.15002355323,1.0,614.149354042,0.915832465123
121,0.152083501134,0.814232895728,60.914590803,1.62469068924,0.38633272881,6.71408740271,2.08142774949,0.195080724005,0.985097065384,3.15008771248,1.0,614.149710596,0.915007698287
122,0.153340389573,0.814288334812,60.9119110398,1.62513544171,0.38635903324,6.7236728713,2.08522007783,0.195099663367,0.98511770308,3.15015172063,1.0,614.150070086,0.914176922585
123,0.154597278012,0.814344234231,60.9092092754,1.62558017794,0.386385556088,6.73332279748,2.08900336772,0.195118761102,0.985138495321,3.15021557644,1.0,614.150432511,0.913340155409
124,0.155854166451,0.814400594085,60.9064855113,1.62602489782,0.3864122974,6.74303688931,2.09277759779,0.195138017273,0.985159441732,3.1502792787,1.0,614.15079787,0.912497414176
125,0.15711105489,0.814457414473,60.9037397486,1.62646960119,0.386439257224,6.75281485456,2.0965427475,0.195157431941,0.985180541935,3.15034282619,1.0,614.151166164,0.911648716329
126,0.15836794333,0.814514695499,60.9009719888,1.62691428793,0.386466435608,6.76265640075,2.10029879711,0.19517700517,0.985201795551,3.15040621768,1.0,614.151537391,0.910794079334
127,0.159624831769,0.814572437263,60.8981822333,1.6273589579,0.386493832602,6.77256123519,2.1040457277,0.195196737024,0.985223202195,3.15046945197,1.0,614.151911551,0.909933520677
128,0.160881720208,0.814630639869,60.8953704835,1.62780361097,0.386521448253,6.78252906501,2.10778352117,0.195216627565,0.985244761481,3.15053252784,1.0,614.152288643,0.909067057863
129,0.162138608647,0.814689303421,60.8925367406,1.62824824699,0.386549282611,6.79255959716,2.11151216019,0.195236676858,0.98526647302,3.15059544407,1.0,614.152668667,0.908194708418
130,0.163395497086,0.814748428024,60.8896810063,1.62869286585,0.386577335725,6.80265253847,2.11523162825,0.195256884969,0.985288336419,3.15065819945,1.0,614.153051622,0.90731648988
131,0.164652385525,0.814808013782,60.8868032817,1.62913746739,0.386605607646,6.81280759566,2.11894190961,0.195277251962,0.985310351283,3.15072079276,1.0,614.153437508,0.906432419802
132,0.165909273964,0.814868060802,60.8839035685,1.62958205148,0.386634098425,6.82302447536,2.1226429893,0.195297777904,0.985332517214,3.15078322278,1.0,614.153826323,0.905542515749
133,0.167166162403,0.814928569192,60.880981868,1.630026618,0.386662808111,6.83330288418,2.12633485313,0.195318462861,0.98535483381,3.15084548832,1.0,614.154218068,0.904646795297
134,0.168423050843,0.814989539059,60.8780381817,1.6304711668,0.386691736757,6.84364252867,2.13001748767,0.1953393069,0.985377300667,3.15090758815,1.0,614.154612741,0.903745276032
135,0.169679939282,0.815050970512,60.875072511,1.63091569775,0.386720884414,6.85404311542,2.13369088025,0.195360310088,0.985399917378,3.15096952106,1.0,614.155010342,0.902837975543
136,0.170936827721,0.815112863662,60.8720848575,1.63136021071,0.386750251133,6.86450435102,2.13735501895,0.195381472494,0.985422683533,3.15103128584,1.0,614.155410871,0.901924911428
137,0.17219371616,0.815175218617,60.8690752225,1.63180470554,0.386779836968,6.87502594214,2.14100989256,0.195402794186,0.985445598718,3.15109288129,1.0,614.155814326,0.901006101287
138,0.173450604599,0.81523803549,60.8660436077,1.63224918213,0.38680964197,6.8856075955,2.14465549064,0.195424275233,0.985468662517,3.15115430619,1.0,614.156220707,0.900081562722
