,a,0.00,0.05,0.10,0.30,0.60
51,1.5171,-6.36616739422e-05,-6.36616739422e-05,-6.36616739422e-05,-6.36616739422e-05,-6.36616739422e-05
52,1.5225,-6.42294570194e-05,-6.42294570194e-05,-6.42294570194e-05,-6.42294570194e-05,-6.42294570194e-05
53,1.5279,-6.48002656314e-05,-6.48002656314e-05,-6.48002656314e-05,-6.48002656314e-05,-6.48002656314e-05
54,1.5333,-6.5374105106e-05,-6.5374105106e-05,-6.5374105106e-05,-6.5374105106e-05,-6.5374105106e-05
55,1.5387,-6.59509807588e-05,-6.59509807588e-05,-6.59509807588e-05,-6.59509807588e-05,-6.59509807588e-05
56,1.544,-6.65201310175e-05,-6.65201310175e-05,-6.65201310175e-05,-6.65201310175e-05,-6.65201310175e-05
57,1.5494,-6.71030384705e-05,-6.71030384705e-05,-6.71030384705e-05,-6.71030384705e-05,-6.71030384705e-05
58,1.5548,-6.7688997895e-05,-6.7688997895e-05,-6.7688997895e-05,-6.7688997895e-05,-6.7688997895e-05
59,1.5602,-6.82780145727e-05,-6.82780145727e-05,-6.82780145727e-05,-6.82780145727e-05,-6.82780145727e-05
60,1.5656,-6.88700937719e-05,-6.88700937719e-05,-6.88700937719e-05,-6.88700937719e-05,-6.88700937719e-05
61,1.571,-6.94652407525e-05,-6.94652407525e-05,-6.94652407525e-05,-6.94652407525e-05,-6.94652407525e-05
62,1.5763,-7.00523546582e-05,-7.00523546582e-05,-7.00523546582e-05,-7.00523546582e-05,-7.00523546582e-05
63,1.5817,-7.06535958925e-05,-7.06535958925e-05,-7.06535958925e-05,-7.06535958925e-05,-7.06535958925e-05
64,1.5871,-7.1257920536e-05,-7.1257920536e-05,-7.1257920536e-05,-7.1257920536e-05,-7.1257920536e-05
65,1.5925,-7.18653338121e-05,-7.18653338121e-05,-7.18653338121e-05,-7.18653338121e-05,-7.18653338121e-05
66,1.5979,-7.24758409341e-05,-7.24758409341e-05,-7.24758409341e-05,-7.24758409341e-05,-7.24758409341e-05
67,1.6032,-7.3078055836e-05,-7.3078055836e-05,-7.3078055836e-05,-7.3078055836e-05,-7.3078055836e-05
