,a,0.80,0.85,0.90,0.95
84,1.6994,0.0001845051233,0.000142994181449,-8.39503850183e-05,-8.4533381286e-05
85,1.7048,0.000185915770653,0.000144099754106,-8.46204175378e-05,-8.52061951462e-05
86,1.7102,0.000187332870385,0.000145231850193,-8.52936459661e-05,-8.5882209294e-05
87,1.7157,0.000188756432324,0.000146369267069,-8.59700753333e-05,-8.65740371543e-05
88,1.7211,0.000190186466265,0.000148511111542,-8.6649710666e-05,-8.72565264465e-05
89,1.7265,0.000191622982005,0.000149667037864,-8.73198824707e-05,-8.79422311764e-05
90,1.732,0.00019308590006,0.000150828346756,-8.80058851771e-05,-8.86439446164e-05
91,1.7374,0.000194535558185,0.000153028849813,-8.86951087826e-05,-8.93361549876e-05
92,1.7429,0.000195991728059,0.000154186604121,-8.93875582806e-05,-9.00445048997e-05
93,1.7483,0.000197454419421,0.000155372015759,-9.00832386537e-05,-9.07432412252e-05
94,1.7537,0.000198932602543,0.000157609418183,-9.07691825507e-05,-9.1445218098e-05
95,1.7592,0.000200408432486,0.000158790965032,-9.14712795399e-05,-9.21635307918e-05
96,1.7646,0.000201890813322,0.000160000687638,-9.21766222186e-05,-9.28720638724e-05
97,1.77,0.000203379754727,0.000161215924182,-9.28852155415e-05,-9.35838524503e-05
98,1.7755,0.000204875266363,0.000163503754148,-9.35970644538e-05,-9.4312173891e-05
99,1.7809,0.000206377357876,0.00016471475729,-9.42989014632e-05,-9.50305487848e-05
100,1.7863,0.000207915686819,0.000165954571645,-9.50172158407e-05,-9.57521940563e-05
101,1.7918,0.000209431096469,0.000168279344094,-9.57388005058e-05,-9.64905699958e-05
102,1.7972,0.000210953115047,0.00016951460083,-9.64636603711e-05,-9.72188315496e-05
103,1.8027,0.000212481752144,0.000170779195708,-9.71918003461e-05,-9.79639564649e-05
104,1.8081,0.000214017017339,0.000172049435289,-9.79232253269e-05,-9.86988542602e-05
105,1.8135,0.000215558920197,0.000174424854166,-9.86443044464e-05,-9.94370471077e-05
106,1.819,0.000217107470266,0.000175690150712,-9.93822530502e-05,-0.000100192302384
107,1.8244,0.000218662677086,0.000176985431753,-0.00010012350122,-0.000100937161204
108,1.8298,0.00022022455018,0.000178286426817,-0.000100868053829,-0.000101685329774
109,1.8353,0.000221793099058,0.00018068777168,-0.000101615915736,-0.000102450760591
110,1.8407,0.000223368333218,0.000182008291205,-0.000102353150981,-0.000103205624726
111,1.8461,0.000224950262143,0.000183334585516,-0.000103107584534,-0.000103963813241
112,1.8516,0.000226538895302,0.000185797715423,-0.000103865341837,-0.000104739464568
113,1.857,0.000228134242154,0.000187118326321,-0.000104626427721,-0.000105504378106
114,1.8625,0.00022973631214,0.000188470113875,-0.00010539084701,-0.000106286888998
115,1.8679,0.000231345114693,0.000189827745176,-0.000106158604524,-0.000107058547185
116,1.8733,0.00023296065923,0.000192315829925,-0.000106915395023,-0.000107833554011
117,1.8788,0.00023461483243,0.000193693301909,-0.000107689781368,-0.000108626360001
118,1.8842,0.000236244021791,0.000195076677947,-0.000103630711068,-0.000109408140713
119,1.8896,0.000237879981497,0.000196465966491,-8.9769938556e-05,-0.000110193284511
120,1.8951,0.000239522720908,0.000199004419516,-8.30689386599e-05,-0.000110996430029
121,1.9005,0.00024117224938,0.000200413728327,-7.62667644667e-05,-0.000111788376819
122,1.906,0.000242828576253,0.000201829009778,-7.18601116967e-05,-0.000112598461192
123,1.9114,0.000244491710853,0.000203223400587,-6.7392809515e-05,-0.000113397230359
124,1.9168,0.000246161662494,0.000205839143027,-6.536720744e-05,-0.000114199386589
125,1.9223,0.000247838440481,0.000207280602199,-6.07934872823e-05,-0.000115019884187
126,1.9277,0.000249522054097,0.000208700735072,-5.86826737852e-05,-0.000115828891685
127,1.9331,0.000251212512626,0.000210154170417,-5.65486261683e-05,-0.000116641300522
128,1.9386,0.000252909825329,0.000212820966939,-5.43833754509e-05,-0.000117472255253
129,1.944,0.000254614001457,0.000214294886324,-4.96129662897e-05,-0.000118291544122
130,1.9494,0.000256325050255,0.000215746933169,-4.73704757931e-05,-0.000119114248549
131,1.9549,0.000258042980945,0.000217232963705,-4.5096775068e-05,-0.000119955704121
132,1.9603,0.000259767802743,0.000219950823518,-4.27863684493e-05,-0.000120785317218
133,1.9658,0.000261499524851,0.000221429024038,-4.04504882454e-05,-0.000121633819122
134,1.9712,0.000263238156464,0.000222941770143,-3.8083334658e-05,-0.000122470359967
135,1.9766,0.000265018002456,0.000224460701526,-3.56848928178e-05,-0.000123310339959
136,1.9821,0.000266770616529,0.000227229610332,-3.59296673842e-05,-0.000124169415229
137,1.9875,0.000268530167784,0.000228740254888,-3.34783880156e-05,-0.000125016351403
138,1.9929,0.000270296665364,0.000230286135987,-3.10002261081e-05,-0.000125866740779
139,1.9984,0.000272070118397,0.000231838270036,-2.84906363439e-05,-0.000126736432625
140,2.0038,0.000273850536004,0.000233367203781,-2.59496189361e-05,-0.000127593806491
141,2.0092,0.000275637927293,0.000236201571113,-2.61251062228e-05,-0.000128454647556
142,2.0147,0.000277432301357,0.000237780885347,-2.35318790036e-05,-0.000129334999006
143,2.0201,0.00027923366728,0.000239366519986,-2.091037828e-05,-0.000130202852752
144,2.0256,0.000281042034131,0.000240928387753,-1.82573599208e-05,-0.000131090356321
145,2.031,0.000282857410975,0.000243813795541,-1.8379394187e-05,-0.000131965241532
146,2.0364,0.000284679806859,0.000245426837103,-1.56765964259e-05,-0.000132843617165
147,2.0419,0.000286509230817,0.000247015651807,-1.29422037336e-05,-0.000133741851736
148,2.0473,0.000288345691879,0.000248641356184,-1.3026317093e-05,-0.000134627286828
149,2.0527,0.000290189199052,0.0002515777148,-1.02421224537e-05,-0.000135516226179
150,2.0582,0.000292039761345,0.000253224773823,-7.42627662964e-06,-0.000136425234302
151,2.0636,0.000293897387747,0.000254847029193,-7.4749023935e-06,-0.000137321260991
152,2.069,0.000295762087239,0.000256506883612,-4.6085692551e-06,-0.00013822080572
153,2.0745,0.00029767064124,0.000258173209222,-4.63788521277e-06,-0.000139140629767
154,2.0799,0.000299549652933,0.000261143657198,-1.72116346375e-06,-0.000140047289597
155,2.0854,0.000301435764762,0.000262831417754,-1.73201937592e-06,-0.000140974369931
156,2.0908,0.000303328985662,0.000264525707709,1.2356889596e-06,-0.000141888163361
157,2.0962,0.000305229324557,0.000266226535508,4.23521093484e-06,-0.000142805497706
158,2.1017,0.000307136790359,0.000269247111018,4.26303805456e-06,-0.000143743464285
159,2.1071,0.000309051391971,0.000270969522025,7.31296251022e-06,-0.000144667959805
160,2.1125,0.000310973138282,0.000272698528811,7.36049192085e-06,-0.000145596009874
161,2.118,0.000312902038173,0.000274401331247,1.04624378152e-05,-0.000146544904609
162,2.1234,0.000314838100513,0.000276143430025,1.05299261159e-05,-0.000147480143314
163,2.1288,0.000316781334158,0.00027926200881,1.36835972877e-05,-0.000148418950147
164,2.1343,0.000318731747955,0.000281026009469,1.37696709643e-05,-0.000149378814783
165,2.1397,0.000320689350742,0.000282763209738,1.69749081835e-05,-0.000150324837604
166,2.1452,0.000322654151345,0.000284540433317,1.70830666519e-05,-0.000151292061149
167,2.1506,0.000324626158577,0.000286324343818,2.03404439296e-05,-0.000152245318191
168,2.156,0.000326605381245,0.00028947476325,2.04693181036e-05,-0.000153202165894
169,2.1615,0.000328591828139,0.000291280639373,2.37762636544e-05,-0.000154180428629
170,2.1669,0.000330624672169,0.000293093259859,2.39260938786e-05,-0.000155144537726
171,2.1723,0.000332625735939,0.000294878242729,2.72879549961e-05,-0.00015611225092
172,2.1778,0.000334634050428,0.000296704249437,2.74590001887e-05,-0.000157101594148
173,2.1832,0.000336649624385,0.000299954201488,3.08735681052e-05,-0.000158076595796
174,2.1887,0.000338672466551,0.000301802486576,3.1066077061e-05,-0.000159073371645
175,2.1941,0.000340702585655,0.000303622524787,3.12557220941e-05,-0.000160055679789
176,2.1995,0.000342739990419,0.000305484325867,3.47437722916e-05,-0.000161041614331
177,2.205,0.000344784689552,0.000307352961775,3.49587758302e-05,-0.000162049539238
178,2.2104,0.000346836691755,0.000310633036273,3.85000401626e-05,-0.000163042807166
179,2.2158,0.000348896005716,0.000312524002642,3.87370774328e-05,-0.000164039714785
180,2.2213,0.000350962640111,0.000314421860675,4.23269198171e-05,-0.000165058829625
181,2.2267,0.000353036603614,0.000316326618757,4.2586218779e-05,-0.000166063097416
182,2.2321,0.000355117904882,0.000318202152039,4.28464710698e-05,-0.000167071018145
183,2.2376,0.000357206552565,0.000321583169853,4.65157970471e-05,-0.000168101363635
184,2.243,0.000359302555295,0.000323517342878,4.67986491075e-05,-0.000169116671216
185,2.2485,0.000361405921709,0.000325421791068,5.05217985993e-05,-0.000170154549414
186,2.2539,0.00036351666042,0.000327369770626,5.08218226565e-05,-0.000171177261632
187,2.2593,0.00036563478004,0.000329324731659,5.11286069744e-05,-0.000172203648776
188,2.2648,0.000367802039741,0.000332771221256,5.49272787529e-05,-0.000173252825229
189,2.2702,0.000369935092109,0.000334711610599,5.5257224596e-05,-0.000174286643523
190,2.2756,0.000372075551319,0.000336696286433,5.91101333387e-05,-0.000175324149857
191,2.2811,0.000374223425942,0.000338688008291,5.9456926603e-05,-0.000176384664865
192,2.2865,0.000376378724532,0.000340649006378,5.98115183226e-05,-0.000177429628764
193,2.2919,0.000378541455645,0.000342654711919,6.37407365849e-05,-0.00017847829376
194,2.2974,0.000380711627815,0.000346182098316,6.41190469479e-05,-0.000179550187484
195,2.3028,0.000382889249574,0.000348210828706,6.44987039418e-05,-0.00018060633636
196,2.3083,0.000385074329443,0.00035020819946,6.84976807115e-05,-0.000181685861494
197,2.3137,0.000387266875932,0.000352251040763,6.89013465438e-05,-0.000182749511791
198,2.3191,0.000389466897545,0.000354301017094,6.93064389821e-05,-0.000183816884874
199,2.3246,0.00039167440277,0.000357854498579,7.33901627381e-05,-0.000184907855396
