,Unnamed: 0,theta i [rad],r orb [AU],v orb [km s-1],ang orb [rad],r L1 [AU],v i [km s-1],ang i [rad],a p [AU],e p,theta p i [rad],flag impact,v imp [km s-1],ang imp [rad],new flag,fraction
0,0,0.0,1.629,36.2248020061,1.57079632679,0.774549553053,3.62248020061,1.57079632679,0.389505514387,0.988545795744,3.14159265359,1.0,615.995421352,1.36910485086,1,0.1
1,1,0.00628947478196,1.6290027953,36.2247452387,1.57134198628,0.77455088215,3.62247196934,1.57625295225,0.389506176417,0.988546171161,3.14165587763,1.0,615.995424495,1.36902931029,0,0.0999984556358
2,2,0.0125789495639,1.62901118115,36.2245749382,1.57188762946,0.774554869417,3.62244727572,1.58170959873,0.389508162495,0.988547297363,3.14171909317,1.0,615.995433923,1.3688028572,0,0.0999938225705
3,3,0.0188684243459,1.62902515739,36.2242911097,1.57243324007,0.774561514777,3.6224061204,1.58716628722,0.389511472583,0.988549174204,3.14178229171,1.0,615.995449638,1.36842599561,0,0.0999861008916
4,4,0.0251578991278,1.62904472376,36.2238937618,1.5729788018,0.774570818105,3.62234850445,1.59262303876,0.389516106618,0.988551801442,3.14184546474,1.0,615.995471637,1.3678995593,0,0.0999752907412
5,5,0.0314473739098,1.62906987989,36.2233829065,1.57352429836,0.774582779224,3.62227442936,1.59807987436,0.38952206451,0.988555178736,3.14190860376,1.0,615.995499919,1.36722470263,0,0.0999613923227
6,6,0.0377368486918,1.62910062528,36.2227585592,1.57406971346,0.774597397908,3.62218389705,1.60353681503,0.389529346145,0.988559305649,3.1419717003,1.0,615.995534485,1.36640288799,0,0.0999444059247
7,7,0.0440263234737,1.62913695938,36.2220207387,1.57461503081,0.774614673878,3.62207690987,1.60899388178,0.389537951384,0.988564181646,3.14203474586,1.0,615.995575332,1.36543587028,0,0.0999243318325
8,8,0.0503157982557,1.62917888148,36.2211694672,1.57516023412,0.774634606808,3.62195347059,1.61445109565,0.389547880062,0.988569806097,3.14209773195,1.0,615.995622459,1.36432567862,0,0.0999011704508
9,9,0.0566052730377,1.62922639078,36.2202047705,1.5757053071,0.774657196318,3.62181358241,1.61990847764,0.389559131989,0.988576178272,3.14216065012,1.0,615.995675864,1.36307459596,0,0.0998749222218
10,10,0.0628947478196,1.6292794864,36.2191266776,1.57625023345,0.774682441979,3.62165724896,1.62536604879,0.389571706948,0.988583297347,3.1422234919,1.0,615.995735545,1.3616851368,0,0.0998455876206
11,11,0.0691842226016,1.62933816731,36.2179352211,1.57679499689,0.774710343313,3.6214844743,1.63082383013,0.389585604698,0.9885911624,3.14228624884,1.0,615.995801499,1.36016002369,0,0.0998131672286
12,12,0.0754736973835,1.6294024324,36.2166304369,1.57733958113,0.774740899789,3.62129526291,1.63628184268,0.389600824973,0.988599772412,3.1423489125,1.0,615.995873724,1.35850216285,0,0.0997776616558
13,13,0.0817631721655,1.62947228045,36.2152123643,1.57788396987,0.774774110826,3.6210896197,1.64174010747,0.38961736748,0.988609126269,3.14241147445,1.0,615.995952217,1.35671461943,0,0.0997390715751
14,14,0.0880526469475,1.62954771014,36.2136810462,1.57842814683,0.774809975794,3.62086754999,1.64719864555,0.389635231901,0.988619222758,3.14247392627,1.0,615.996036975,1.35480059279,0,0.0996973977133
15,15,0.0943421217294,1.62962872003,36.2120365288,1.57897209571,0.774848494008,3.62062905957,1.65265747796,0.389654417894,0.988630060573,3.14253625958,1.0,615.996127995,1.35276339223,0,0.0996526408658
16,16,0.100631596511,1.62971530858,36.2102788617,1.57951580024,0.774889664738,3.62037415461,1.65811662574,0.389674925089,0.98864163831,3.14259846598,1.0,615.996225273,1.35060641346,0,0.0996048018856
17,17,0.106921071293,1.62980747413,36.208408098,1.58005924411,0.774933487198,3.62010284172,1.66357610994,0.389696753092,0.988653954469,3.14266053711,1.0,615.996328804,1.34833311609,0,0.0995538816934
18,18,0.113210546075,1.62990521494,36.2064242941,1.58060241105,0.774979960555,3.61981512797,1.66903595162,0.389719901482,0.988667007455,3.14272246463,1.0,615.996438586,1.34594700244,0,0.0994998812445
19,19,0.119500020857,1.63000852913,36.20432751,1.58114528476,0.775029083922,3.61951102082,1.67449617184,0.389744369815,0.988680795578,3.1427842402,1.0,615.996554613,1.34345159772,0,0.0994428015848
20,20,0.125789495639,1.63011741475,36.2021178089,1.58168784897,0.775080856363,3.61919052816,1.67995679166,0.389770157619,0.988695317051,3.14284585552,1.0,615.996676881,1.34085043186,0,0.0993826437825
21,21,0.132078970421,1.63023186971,36.1997952576,1.58223008738,0.775135276889,3.61885365832,1.68541783217,0.389797264397,0.988710569993,3.14290730231,1.0,615.996805386,1.3381470229,0,0.0993194089971
22,22,0.138368445203,1.63035189183,36.1973599263,1.58277198371,0.775192344463,3.61850042006,1.69087931443,0.389825689625,0.988726552429,3.1429685723,1.0,615.996940122,1.33534486217,0,0.0992530984327
23,23,0.144657919985,1.63047747881,36.1948118885,1.58331352167,0.775252057992,3.61813082256,1.69634125954,0.389855432756,0.988743262287,3.14302965726,1.0,615.997081083,1.33244740101,0,0.0991837133606
24,24,0.150947394767,1.63060862826,36.1921512213,1.58385468499,0.775314416337,3.61774487542,1.70180368859,0.389886493215,0.988760697403,3.14309054896,1.0,615.997228265,1.32945803927,0,0.0991112550984
25,25,0.157236869549,1.63074533765,36.189378005,1.58439545737,0.775379418304,3.61734258869,1.70726662267,0.389918870401,0.988778855519,3.14315123923,1.0,615.997381661,1.32638011533,0,0.0990357250534
26,26,0.163526344331,1.63088760439,36.1864923235,1.58493582254,0.775447062647,3.61692397282,1.71273008289,0.389952563689,0.98879773428,3.1432117199,1.0,615.997541265,1.32321689762,0,0.0989571246412
27,27,0.169815819113,1.63103542574,36.1834942641,1.58547576422,0.775517348072,3.61648903871,1.71819409037,0.389987572426,0.988817331241,3.14327198284,1.0,615.997707071,1.31997157758,0,0.098875455385
28,28,0.176105293895,1.63118879886,36.1803839174,1.58601526613,0.77559027323,3.61603779768,1.72365866623,0.390023895934,0.988837643863,3.14333201996,1.0,615.997879073,1.316647264,0,0.0987907188552
29,29,0.182394768677,1.63134772081,36.1771613776,1.58655431198,0.775665836721,3.61557026148,1.7291238316,0.390061533508,0.988858669512,3.14339182317,1.0,615.998057264,1.31324697841,0,0.0987029166738
30,30,0.188684243459,1.63151218854,36.1738267421,1.5870928855,0.775744037093,3.61508644228,1.73458960762,0.390100484419,0.988880405464,3.14345138444,1.0,615.998241636,1.30977365173,0,0.0986120505241
31,31,0.194973718241,1.63168219889,36.1703801118,1.58763097041,0.775824872844,3.61458635268,1.74005601544,0.39014074791,0.988902848901,3.14351069576,1.0,615.998432182,1.30623012181,0,0.0985181221525
32,32,0.201263193023,1.63185774858,36.1668215911,1.58816855044,0.775908342417,3.61407000573,1.74552307621,0.390182323199,0.988925996914,3.14356974917,1.0,615.998628895,1.30261913189,0,0.0984211333738
33,33,0.207552667805,1.63203883423,36.1631512878,1.58870560931,0.775994444204,3.61353741487,1.75099081112,0.390225209475,0.988949846503,3.14362853671,1.0,615.998831767,1.29894332979,0,0.0983210860545
34,34,0.213842142587,1.63222545236,36.159369313,1.58924213075,0.776083176545,3.612988594,1.75645924132,0.390269405904,0.988974394575,3.1436870505,1.0,615.99904079,1.29520526783,0,0.0982179821116
35,35,0.220131617369,1.63241759935,36.1554757813,1.58977809848,0.776174537727,3.61242355744,1.76192838802,0.390314911624,0.988999637948,3.14374528265,1.0,615.999255955,1.29140740331,0,0.0981118235538
36,36,0.226421092151,1.63261527149,36.1514708107,1.59031349625,0.776268525984,3.61184231993,1.76739827241,0.390361725747,0.989025573348,3.14380322536,1.0,615.999477255,1.28755209946,0,0.0980026124286
37,37,0.232710566933,1.63281846497,36.1473545226,1.59084830776,0.776365139498,3.61124489664,1.77286891569,0.390409847359,0.989052197412,3.14386087083,1.0,615.99970468,1.28364162685,0,0.0978903508343
38,38,0.239000041715,1.63302717584,36.1431270419,1.59138251677,0.776464376398,3.61063130319,1.77834033909,0.390459275517,0.989079506688,3.14391821131,1.0,615.999938221,1.27967816513,0,0.0977750409608
39,39,0.245289516497,1.63324140005,36.1387884967,1.59191610699,0.77656623476,3.6100015556,1.78381256384,0.390510009254,0.989107497633,3.14397523909,1.0,616.000177869,1.27566380506,0,0.0976566850473
40,40,0.251578991278,1.63346113346,36.1343390188,1.59244906218,0.776670712606,3.60935567034,1.78928561118,0.390562047576,0.989136166616,3.14403194652,1.0,616.000423615,1.27160055075,0,0.0975352853711
41,41,0.25786846606,1.63368637178,36.1297787432,1.59298136605,0.776777807905,3.60869366429,1.79475950237,0.39061538946,0.989165509919,3.14408832598,1.0,616.000675449,1.26749032214,0,0.0974108443116
42,42,0.264157940842,1.63391711064,36.1251078083,1.59351300236,0.776887518574,3.60801555479,1.80023425866,0.390670033859,0.989195523735,3.14414436988,1.0,616.000933361,1.26333495752,0,0.0972833642777
43,43,0.270447415624,1.63415334554,36.120326356,1.59404395484,0.776999842475,3.60732135958,1.80570990136,0.390725979697,0.989226204169,3.14420007071,1.0,616.001197341,1.25913621623,0,0.0971528477574
44,44,0.276736890406,1.63439507187,36.1154345317,1.59457420723,0.777114777415,3.60661109683,1.81118645173,0.390783225872,0.98925754724,3.14425542097,1.0,616.001467377,1.25489578137,0,0.0970192972965
45,45,0.283026365188,1.63464228491,36.110432484,1.59510374328,0.777232321151,3.60588478516,1.8166639311,0.390841771255,0.989289548881,3.14431041322,1.0,616.001743461,1.25061526256,0,0.0968827155041
46,46,0.28931583997,1.63489497981,36.1053203649,1.59563254674,0.777352471382,3.60514244362,1.82214236077,0.390901614688,0.989322204938,3.14436504009,1.0,616.00202558,1.24629619875,0,0.096743105065
47,47,0.295605314752,1.63515315164,36.1000983301,1.59616060134,0.777475225754,3.60438409166,1.82762176208,0.390962754989,0.989355511172,3.14441929424,1.0,616.002313723,1.24194006092,0,0.0966004686925
48,48,0.301894789534,1.63541679532,36.0947665384,1.59668789085,0.77760058186,3.60360974919,1.83310215638,0.391025190946,0.989389463259,3.14447316837,1.0,616.00260788,1.2375482549,0,0.0964548092022
49,49,0.308184264316,1.63568590568,36.0893251521,1.59721439901,0.777728537236,3.60281943655,1.83858356503,0.391088921321,0.989424056791,3.14452665525,1.0,616.002908038,1.23312212395,0,0.0963061294443
50,50,0.314473739098,1.63596047742,36.083774337,1.59774010957,0.777859089365,3.60201317448,1.84406600939,0.391153944846,0.989459287277,3.1445797477,1.0,616.003214185,1.22866295151,0,0.0961544323501
51,51,0.32076321388,1.63624050514,36.0781142621,1.5982650063,0.777992235674,3.60119098419,1.84954951086,0.39122026023,0.989495150141,3.14463243859,1.0,616.00352631,1.22417196372,0,0.0959997208974
52,52,0.327052688662,1.63652598329,36.0723451001,1.59878907295,0.778127973537,3.60035288729,1.85503409085,0.39128786615,0.989531640725,3.14468472085,1.0,616.0038444,1.21965033192,0,0.0958419981661
53,53,0.333342163444,1.63681690625,36.0664670267,1.59931229328,0.778266300269,3.59949890585,1.86051977077,0.391356761257,0.98956875429,3.14473658745,1.0,616.004168443,1.2150991751,0,0.0956812672475
54,54,0.339631638226,1.63711326825,36.0604802213,1.59983465107,0.778407213132,3.59862906233,1.86600657205,0.391426944174,0.989606486013,3.14478803143,1.0,616.004498425,1.21051956228,0,0.0955175313354
55,55,0.345921113008,1.63741506342,36.0543848667,1.60035613006,0.778550709333,3.59774337967,1.87149451615,0.391498413496,0.989644830993,3.14483904588,1.0,616.004834334,1.20591251471,0,0.0953507936707
56,56,0.35221058779,1.63772228576,36.0481811489,1.60087671404,0.77869678602,3.59684188121,1.87698362454,0.39157116779,0.989683784246,3.14488962397,1.0,616.005176156,1.20127900813,0,0.0951810575693
57,57,0.358500062572,1.63803492916,36.0418692575,1.60139638678,0.778845440289,3.59592459072,1.88247391869,0.391645205595,0.98972334071,3.14493975889,1.0,616.005523877,1.19661997483,0,0.0950083264081
