,Unnamed: 0,theta i [rad],r orb [AU],v orb [km s-1],ang orb [rad],r L1 [AU],v i [km s-1],ang i [rad],a p [AU],e p,theta p i [rad],flag impact,v imp [km s-1],ang imp [rad],new flag,fraction
19,19,0.119500020857,2.01303077393,32.4374245831,1.58019142624,0.957146767883,3.24154890092,1.66494855752,0.481300942502,0.988766636829,3.14266554222,0.0,0.0,0.0,0,0.0994941614682
20,20,0.125789495639,2.01315284996,32.435611624,1.58068392836,0.957204812044,3.24113071575,1.669907055,0.481329588546,0.98877970629,3.1427210848,0.0,0.0,0.0,0,0.099439552182
21,21,0.132078970421,2.01328116839,32.4337060864,1.58117612641,0.957265824309,3.24069114308,1.67486603255,0.481359699344,0.98879343486,3.14277648559,0.0,0.0,0.0,0,0.0993821504274
22,22,0.138368445203,2.01341572652,32.4317080295,1.58166800518,0.957329803399,3.24023019158,1.67982551432,0.481391274254,0.988807820878,3.14283173762,0.0,0.0,0.0,0,0.0993219574164
23,23,0.144657919985,2.01355652152,32.4296175152,1.5821595495,0.95739674797,3.23974787038,1.68478552446,0.481424312603,0.988822862602,3.14288683398,0.0,0.0,0.0,0,0.0992589744163
24,24,0.150947394767,2.01370355044,32.4274346083,1.58265074416,0.957466656616,3.239244189,1.68974608715,0.481458813684,0.988838558211,3.14294176774,0.0,0.0,0.0,0,0.0991932027438
25,25,0.157236869549,2.01385681019,32.4251593766,1.58314157399,0.957539527868,3.23871915741,1.69470722661,0.481494776761,0.988854905806,3.14299653201,0.0,0.0,0.0,0,0.0991246437815
26,26,0.163526344331,2.01401629754,32.4227918905,1.5836320238,0.957615360194,3.23817278601,1.69966896705,0.481532201064,0.988871903408,3.14305111993,0.0,0.0,0.0,0,0.0990532989774
27,27,0.169815819113,2.01418200915,32.4203322237,1.5841220784,0.957694151996,3.23760508559,1.70463133273,0.481571085795,0.988889548959,3.14310552465,0.0,0.0,0.0,0,0.0989791698173
28,28,0.176105293895,2.0143539415,32.4177804523,1.58461172262,0.957775901616,3.23701606742,1.70959434793,0.481611430119,0.988907840323,3.14315973936,0.0,0.0,0.0,0,0.098902257889
29,29,0.182394768677,2.014532091,32.4151366556,1.58510094127,0.95786060733,3.23640574315,1.71455803694,0.481653233174,0.988926775287,3.14321375726,0.0,0.0,0.0,0,0.0988225647841
30,30,0.188684243459,2.01471645387,32.4124009157,1.58558971917,0.957948267353,3.23577412488,1.71952242409,0.481696494062,0.988946351559,3.14326757158,0.0,0.0,0.0,0,0.098740092204
31,31,0.194973718241,2.01490702622,32.4095733174,1.58607804117,0.958038879833,3.23512122512,1.72448753375,0.481741211856,0.988966566768,3.14332117558,0.0,0.0,0.0,0,0.0986548418867
32,32,0.201263193023,2.01510380403,32.4066539488,1.58656589207,0.958132442856,3.23444705683,1.72945339029,0.481787385595,0.988987418469,3.14337456255,0.0,0.0,0.0,0,0.0985668156283
33,33,0.207552667805,2.01530678314,32.4036429003,1.58705325672,0.958228954445,3.23375163338,1.73442001813,0.481835014289,0.989008904137,3.14342772581,0.0,0.0,0.0,0,0.0984760152906
34,34,0.213842142587,2.01551595925,32.4005402657,1.58754011995,0.958328412556,3.23303496857,1.73938744171,0.481884096911,0.989031021172,3.1434806587,0.0,0.0,0.0,0,0.0983824427977
35,35,0.220131617369,2.01573132793,32.3973461412,1.58802646659,0.958430815084,3.23229707663,1.74435568552,0.481934632407,0.989053766897,3.1435333546,0.0,0.0,0.0,0,0.0982861001324
36,36,0.226421092151,2.01595288463,32.3940606264,1.58851228148,0.958536159856,3.23153797222,1.74932477406,0.481986619688,0.989077138559,3.14358580693,0.0,0.0,0.0,0,0.0981869893218
37,37,0.232710566933,2.01618062462,32.3906838232,1.58899754947,0.95864444464,3.23075767043,1.75429473188,0.482040057631,0.989101133329,3.14363800911,0.0,0.0,0.0,0,0.0980851124965
38,38,0.239000041715,2.01641454309,32.3872158368,1.58948225539,0.958755667133,3.22995618678,1.75926558355,0.482094945086,0.989125748303,3.14368995464,0.0,0.0,0.0,0,0.0979804717945
39,39,0.245289516497,2.01665463505,32.3836567751,1.58996638411,0.958869824972,3.22913353719,1.76423735369,0.482151280864,0.989150980503,3.14374163702,0.0,0.0,0.0,0,0.0978730694562
40,40,0.251578991278,2.01690089539,32.3800067488,1.59044992047,0.958986915727,3.22828973806,1.76921006695,0.48220906375,0.989176826873,3.14379304979,0.0,0.0,0.0,0,0.0977629077672
41,41,0.25786846606,2.01715331888,32.3762658716,1.59093284932,0.959106936903,3.22742480619,1.77418374801,0.482268292491,0.989203284287,3.14384418654,0.0,0.0,0.0,0,0.0976499890601
42,42,0.264157940842,2.01741190012,32.37243426,1.59141515552,0.959229885942,3.22653875879,1.77915842161,0.482328965805,0.989230349542,3.14389504088,0.0,0.0,0.0,0,0.0975343157587
43,43,0.270447415624,2.0176766336,32.3685120334,1.59189682395,0.959355760218,3.22563161355,1.78413411251,0.482391082375,0.989258019362,3.14394560648,0.0,0.0,0.0,0,0.0974158903226
44,44,0.276736890406,2.01794751365,32.3644993141,1.59237783945,0.959484557041,3.22470338856,1.78911084551,0.482454640853,0.9892862904,3.14399587702,0.0,0.0,0.0,0,0.0972947152932
45,45,0.283026365188,2.01822453449,32.360396227,1.59285818691,0.959616273655,3.22375410233,1.79408864546,0.482519639858,0.989315159233,3.14404584625,0.0,0.0,0.0,0,0.0971707932495
46,46,0.28931583997,2.01850769017,32.3562029002,1.59333785119,0.959750907238,3.22278377384,1.79906753726,0.482586077974,0.989344622369,3.14409550793,0.0,0.0,0.0,0,0.0970441268594
47,47,0.295605314752,2.01879697463,32.3519194645,1.59381681718,0.959888454903,3.22179242246,1.80404754584,0.482653953754,0.989374676241,3.14414485589,0.0,0.0,0.0,0,0.0969147188287
48,48,0.301894789534,2.01909238165,32.3475460536,1.59429506974,0.960028913696,3.22078006802,1.80902869617,0.482723265719,0.989405317213,3.14419388398,0.0,0.0,0.0,0,0.096782571943
49,49,0.308184264316,2.01939390488,32.343082804,1.59477259379,0.960172280597,3.21974673077,1.81401101329,0.482794012353,0.989436541576,3.14424258611,0.0,0.0,0.0,0,0.0966476890422
50,50,0.314473739098,2.01970153783,32.3385298551,1.59524937419,0.96031855252,3.21869243139,1.81899452226,0.482866192111,0.989468345554,3.14429095622,0.0,0.0,0.0,0,0.0965100730293
51,51,0.32076321388,2.02001527387,32.3338873492,1.59572539585,0.960467726312,3.21761719102,1.82397924819,0.482939803412,0.989500725296,3.1443389883,0.0,0.0,0.0,0,0.0963697268698
52,52,0.327052688662,2.02033510622,32.3291554313,1.59620064366,0.960619798754,3.2165210312,1.82896521627,0.483014844642,0.989533676886,3.14438667638,0.0,0.0,0.0,0,0.0962266536006
53,53,0.333342163444,2.02066102798,32.3243342495,1.59667510253,0.960774766559,3.21540397392,1.83395245169,0.483091314155,0.989567196335,3.14443401455,0.0,0.0,0.0,0,0.0960808563031
54,54,0.339631638226,2.0209930321,32.3194239544,1.59714875738,0.960932626372,3.21426604161,1.83894097973,0.48316921027,0.989601279589,3.14448099693,0.0,0.0,0.0,0,0.0959323381285
55,55,0.345921113008,2.02133111137,32.3144246999,1.5976215931,0.961093374774,3.21310725712,1.84393082571,0.483248531272,0.989635922523,3.14452761771,0.0,0.0,0.0,0,0.0957811023099
56,56,0.35221058779,2.02167525846,32.3093366423,1.59809359463,0.961257008275,3.21192764376,1.84892201499,0.483329275414,0.989671120946,3.1445738711,0.0,0.0,0.0,0,0.0956271521223
57,57,0.358500062572,2.02202546589,32.3041599411,1.59856474689,0.96142352332,3.21072722524,1.85391457301,0.483411440913,0.989706870599,3.14461975139,0.0,0.0,0.0,0,0.095470490913
58,58,0.364789537354,2.02238172604,32.2988947585,1.5990350348,0.961592916284,3.20950602574,1.85890852523,0.483495025954,0.989743167158,3.14466525289,0.0,0.0,0.0,0,0.0953111220893
