,vfr,0.00,0.05,0.10,0.30,0.60
57,0.8573,0.0,2.00689273436e-08,1.60938986223e-08,1.62374127641e-08,4.75231766369e-08
58,0.8583,0.0,2.0737994286e-08,1.69934021581e-08,1.60408012674e-08,4.70409276476e-08
59,0.8593,0.0,2.05303270001e-08,1.79195951892e-08,1.74428710017e-08,4.65592146885e-08
60,0.8603,0.0,2.15832014889e-08,1.88657541826e-08,1.90482068921e-08,5.65858366817e-08
61,0.8613,0.0,2.23278706098e-08,1.98284232459e-08,2.07157225181e-08,5.6072113211e-08
62,0.8623,0.0,2.34466645164e-08,1.97483554187e-08,2.05066970454e-08,6.68966009281e-08
63,0.8633,0.0,2.45990814582e-08,2.07797618078e-08,2.22011924034e-08,6.65538498915e-08
64,0.8643,0.0,2.57893674788e-08,2.18350162121e-08,2.39018376743e-08,6.59466147515e-08
65,0.8653,0.0,2.6623068551e-08,2.29174545429e-08,2.57119088464e-08,7.71815109175e-08
66,0.8663,0.0,2.78756733855e-08,2.40318721374e-08,2.75065342695e-08,7.71788825604e-08
67,0.8673,0.0,2.91642184322e-08,2.59037957667e-08,2.94423996235e-08,8.71131676836e-08
68,0.8683,0.0,3.0492397356e-08,2.70858715151e-08,3.13464902902e-08,8.62288276312e-08
69,0.8693,0.0,3.14108179817e-08,2.82997690321e-08,3.10414832112e-08,9.84911043643e-08
70,0.8704,0.0,3.27998374716e-08,2.95391690557e-08,3.29646873658e-08,1.10991582638e-07
71,0.8714,0.0,3.42235360769e-08,3.08034179458e-08,3.50274705808e-08,1.09877156464e-07
72,0.8724,0.0,3.56835579461e-08,3.29353727889e-08,3.71792813793e-08,1.37929850576e-07
73,0.8734,0.0,3.71769322914e-08,3.4275921736e-08,3.81660229205e-08,1.66437390026e-07
74,0.8744,0.0,3.87078145204e-08,3.65263249352e-08,4.04308737509e-08,1.65125686655e-07
75,0.8754,0.0,4.02704934456e-08,3.79318909958e-08,4.26972812141e-08,1.63680251924e-07
76,0.8764,0.0,4.18692981774e-08,3.93594776185e-08,4.50516532332e-08,1.62510222598e-07
77,0.8774,0.0,4.34979177576e-08,4.17739216345e-08,4.74519828741e-08,1.61040213759e-07
