,a,0.80,0.85,0.90,0.95
67,1.6069,3.94184203206e-12,1.24656783887e-08,1.17820649941e-07,4.97827489145e-08
68,1.6124,2.39666235137e-12,1.25473250238e-08,1.18614996795e-07,5.01231303483e-08
69,1.6178,2.41206714247e-12,1.21972011035e-08,1.19412012387e-07,5.04599928004e-08
70,1.6232,2.42752128796e-12,1.22777083948e-08,1.20211696716e-07,5.07979834299e-08
71,1.6287,1.36049155867e-12,1.23573340902e-08,1.21014049784e-07,5.11418122055e-08
72,1.6341,1.3691527267e-12,1.20070910583e-08,1.21819071591e-07,5.14820748476e-08
73,1.6396,1.37784141017e-12,1.20855702018e-08,1.22615516294e-07,5.18282071212e-08
74,1.645,7.06432968861e-13,1.21643049863e-08,1.2342583851e-07,5.21707417829e-08
75,1.6504,7.10887739676e-13,1.18130416886e-08,1.24238829462e-07,5.25144046137e-08
76,1.6559,7.15356514259e-13,1.18895063938e-08,1.25054489151e-07,5.28639842286e-08
77,1.6613,7.19839275894e-13,1.19662177684e-08,1.25872817578e-07,5.32099190745e-08
78,1.6667,3.5477308252e-13,1.161529544e-08,1.26682383918e-07,5.35569820977e-08
79,1.6722,3.56982424749e-13,1.16897605563e-08,1.27506012753e-07,5.39100090534e-08
80,1.6776,3.59198620274e-13,1.176446361e-08,1.28332310325e-07,5.42593440885e-08
81,1.6831,2.1267630773e-13,1.14140955045e-08,1.29161276633e-07,5.46146745416e-08
82,1.6885,2.14007801878e-13,1.1486577023e-08,1.29992911679e-07,5.49662815946e-08
83,1.6939,2.15324077887e-13,1.15592879474e-08,1.30815599651e-07,5.5319016816e-08
84,1.6994,1.90842961704e-13,1.12106832378e-08,1.31652535104e-07,5.56777946097e-08
85,1.7048,1.92009582215e-13,1.12802005471e-08,1.32492139292e-07,5.60328018461e-08
86,1.7102,1.93179757307e-13,1.13509366151e-08,1.33334412216e-07,5.63889372589e-08
87,1.7157,1.94353482041e-13,1.14218937807e-08,1.34179353876e-07,5.67511623913e-08
88,1.7211,1.95530766403e-13,1.10708760261e-08,1.35026964273e-07,5.71095698147e-08
89,1.7265,1.96711606199e-13,1.11396555655e-08,1.35865405544e-07,5.74691054109e-08
90,1.732,3.15711166696e-14,1.12086480896e-08,1.36718316345e-07,5.78347778859e-08
91,1.7374,3.17606350024e-14,1.08597939745e-08,1.37573895885e-07,5.81965854962e-08
92,1.7429,3.19507190037e-14,1.0925690554e-08,1.38432144156e-07,5.85645614639e-08
93,1.7483,3.21413717546e-14,1.09927379741e-08,1.39293061163e-07,5.89286410871e-08
94,1.7537,0.0,1.06452801325e-08,1.4014462406e-07,5.92938488876e-08
95,1.7592,0.0,1.07092868939e-08,1.41010841473e-07,5.96652721923e-08
96,1.7646,0.0,1.07744096863e-08,1.41879727619e-07,6.00327520025e-08
97,1.77,0.0,1.08397298876e-08,1.42751282499e-07,6.0401359985e-08
98,1.7755,0.0,1.04915836488e-08,1.43625506115e-07,6.07762306304e-08
99,1.7809,0.0,1.05539087209e-08,1.44490190636e-07,6.11471106251e-08
100,1.7863,0.0,1.06173182161e-08,1.45369714655e-07,6.15191187922e-08
101,1.7918,0.0,1.0271008755e-08,1.46251907407e-07,6.18974367716e-08
102,1.7972,0.0,1.03314795037e-08,1.47136768895e-07,6.22717169545e-08
103,1.8027,0.0,1.03930007866e-08,1.48024299117e-07,6.26523384297e-08
104,1.8081,0.0,1.04547047017e-08,1.48914498072e-07,6.3028890622e-08
105,1.8135,0.0,1.01082092617e-08,1.49794935879e-07,6.3406570985e-08
106,1.819,0.0,1.01670215466e-08,1.50690435235e-07,6.37906398001e-08
107,1.8244,0.0,1.0226853483e-08,1.51588603324e-07,6.41705921751e-08
108,1.8298,0.0,1.02868609585e-08,1.52489440148e-07,6.45516727235e-08
109,1.8353,0.0,9.93962281225e-09,1.53392945704e-07,6.49391888696e-08
110,1.8407,0.0,9.99760710506e-09,1.54286505126e-07,6.5322541433e-08
111,1.8461,0.0,1.00557600301e-08,1.55195311084e-07,6.5707022163e-08
112,1.8516,0.0,9.71183972618e-09,1.56106785773e-07,6.60979856442e-08
113,1.857,0.0,9.76720675718e-09,1.57020929195e-07,6.64847383872e-08
114,1.8625,0.0,9.82353041868e-09,1.5793774135e-07,6.68780053656e-08
115,1.8679,0.0,9.88001600544e-09,1.58857222236e-07,6.72670301202e-08
116,1.8733,0.0,9.53589146456e-09,1.59766534939e-07,6.76571830439e-08
117,1.8788,0.0,9.59041184906e-09,1.60691316223e-07,6.80538973536e-08
118,1.8842,0.0,9.64508764979e-09,1.58287744827e-07,6.84463222931e-08
119,1.8896,0.0,9.69991885869e-09,1.49164822682e-07,6.88398754e-08
120,1.8951,0.0,9.35664159802e-09,1.44996714365e-07,6.92400370436e-08
121,1.9005,0.0,9.40953447026e-09,1.40785750299e-07,6.96358621595e-08
122,1.906,0.0,9.46257641821e-09,1.38233501508e-07,7.00383273004e-08
123,1.9114,0.0,9.51501267881e-09,1.35660722556e-07,7.04364244274e-08
124,1.9168,0.0,9.17359165579e-09,1.3474763125e-07,7.08356497259e-08
125,1.9223,0.0,9.22487203289e-09,1.32139445194e-07,7.12415621986e-08
126,1.9277,0.0,9.27556565506e-09,1.31187456415e-07,7.16430595054e-08
127,1.9331,0.0,9.32712986573e-09,1.30234307589e-07,7.20456849844e-08
128,1.9386,0.0,8.98703849715e-09,1.29269897708e-07,7.24550447858e-08
129,1.944,0.0,9.03672254311e-09,1.26602004271e-07,7.28599422781e-08
130,1.9494,0.0,9.08583661147e-09,1.25612798357e-07,7.32659679368e-08
131,1.9549,0.0,9.1357926344e-09,1.24613371237e-07,7.36787750695e-08
132,1.9603,0.0,8.79727916216e-09,1.23594493303e-07,7.40870727369e-08
133,1.9658,0.0,8.84470156154e-09,1.22575520686e-07,7.45021833669e-08
134,1.9712,0.0,8.89293584017e-09,1.21547126027e-07,7.49127530436e-08
135,1.9766,0.0,8.94130128634e-09,1.20509581784e-07,7.53244508906e-08
136,1.9821,0.0,8.60461042878e-09,1.21170848433e-07,7.57430088466e-08
137,1.9875,0.0,8.65049422135e-09,1.20107794749e-07,7.61569787051e-08
138,1.9929,0.0,8.69716219631e-09,1.19045343768e-07,7.65720767309e-08
139,1.9984,0.0,8.74395571891e-09,1.17974573198e-07,7.69940820169e-08
140,2.0038,0.0,8.79020905318e-09,1.16895767838e-07,7.74114520509e-08
141,2.0092,0.0,8.45369259335e-09,1.17528548161e-07,7.78299502592e-08
142,2.0147,0.0,8.49881374323e-09,1.16425718858e-07,7.82554028748e-08
143,2.0201,0.0,8.5440549837e-09,1.15324239935e-07,7.86761730865e-08
144,2.0256,0.0,8.58877270444e-09,1.14215596624e-07,7.91039291934e-08
145,2.031,0.0,8.25459256661e-09,1.14827269454e-07,7.9526971418e-08
146,2.0364,0.0,8.29818730922e-09,1.13704165308e-07,7.99511418067e-08
147,2.0419,0.0,8.34127668656e-09,1.12574494381e-07,8.0382345242e-08
148,2.0473,0.0,8.3850994327e-09,1.13164249297e-07,8.08087876387e-08
149,2.0527,0.0,8.05348843346e-09,1.12020814323e-07,8.12363582086e-08
150,2.0582,0.0,8.09557809269e-09,1.10871423353e-07,8.16710089729e-08
151,2.0636,0.0,8.13717870651e-09,1.1145581942e-07,8.21008515463e-08
152,2.069,0.0,8.17948621074e-09,1.10293169125e-07,8.25318222888e-08
153,2.0745,0.0,8.2219034093e-09,1.10863419849e-07,8.29699203844e-08
154,2.0799,0.0,7.89070308979e-09,1.09687922512e-07,8.34031631332e-08
155,2.0854,0.0,7.93141309941e-09,1.10260069888e-07,8.38435647134e-08
156,2.0908,0.0,7.97222785891e-09,1.09071931916e-07,8.42790794703e-08
157,2.0962,0.0,8.01314736035e-09,1.07879110015e-07,8.47157223993e-08
158,2.1017,0.0,7.68502597816e-09,1.08437453775e-07,8.51595713056e-08
159,2.1071,0.0,7.72427133366e-09,1.07224975241e-07,8.55984862356e-08
160,2.1125,0.0,7.76361664553e-09,1.07777095728e-07,8.6038529335e-08
161,2.118,0.0,7.80250226257e-09,1.06560725384e-07,8.64858255738e-08
162,2.1234,0.0,7.84204605975e-09,1.07106614644e-07,8.69281406788e-08
163,2.1288,0.0,7.5160419798e-09,1.05878914908e-07,8.73715839522e-08
164,2.1343,0.0,7.55394188954e-09,1.06411036226e-07,8.7822327513e-08
165,2.1397,0.0,7.59139805124e-09,1.05172452468e-07,8.82680427965e-08
166,2.1452,0.0,7.62948724174e-09,1.05705784574e-07,8.87210898455e-08
167,2.1506,0.0,7.66767175145e-09,1.04456554875e-07,8.91690771285e-08
168,2.156,0.0,7.34297202178e-09,1.04983584066e-07,8.96181925808e-08
169,2.1615,0.0,7.37954083974e-09,1.0371682868e-07,9.00746869577e-08
170,2.1669,0.0,7.41620048519e-09,1.04237516798e-07,9.05260744157e-08
171,2.1723,0.0,7.45242956758e-09,1.02968154136e-07,9.09785900415e-08
