,a,0.00,0.05,0.10,0.30,0.60
117,1.8723,0.0,0.9428731642,1.0,1.0,1.0
118,1.8777,0.0,0.927671933119,0.986381926296,1.0,1.0
119,1.8831,0.0,0.912494097944,0.945550358182,1.0,1.0
120,1.8885,0.0,0.901129094193,0.925163794434,1.0,1.0
121,1.8938,0.0,0.89356234573,0.904808675626,1.0,1.0
122,1.8992,0.0,0.886004260324,0.89126048659,1.0,1.0
123,1.9046,0.0,0.874684732605,0.877732897157,1.0,1.0
124,1.91,0.0,0.867151015904,0.870977652526,1.0,1.0
125,1.9154,0.0,0.859628125688,0.857485910407,1.0,1.0
126,1.9207,0.0,0.855870932253,0.850750070401,1.0,1.0
127,1.9261,0.0,0.848365430857,0.844021355301,1.0,1.0
128,1.9315,0.0,0.840872284468,0.837300092642,1.0,1.0
129,1.9369,0.0,0.837130534185,0.823881232157,1.0,1.0
130,1.9423,0.0,0.829657057519,0.8171842867,1.0,1.0
131,1.9477,0.0,0.825925481852,0.81049609837,1.0,1.0
132,1.953,0.0,0.818473031245,0.803816991867,1.0,1.0
133,1.9584,0.0,0.814752305917,0.797147291254,1.0,1.0
134,1.9638,0.0,0.811035346655,0.790487319934,1.0,1.0
135,1.9692,0.0,0.803613023385,0.783837400634,1.0,1.0
136,1.9746,0.0,0.799907807423,0.783837400636,1.0,1.0
137,1.9799,0.0,0.79620665358,0.777197855384,1.0,1.0
138,1.9853,0.0,0.792509635343,0.770569005478,1.0,1.0
139,1.9907,0.0,0.785128298579,0.76395117148,1.0,1.0
140,1.9961,0.0,0.781444125945,0.757344673188,1.0,1.0
141,2.0015,0.0,0.777764380691,0.757344673191,1.0,1.0
142,2.0068,0.0,0.774089135193,0.750749829603,1.0,1.0
143,2.0122,0.0,0.770418461596,0.744166958922,1.0,1.0
144,2.0176,0.0,0.766752431802,0.737596378515,1.0,1.0
145,2.023,0.0,0.763091117455,0.737596378519,1.0,1.0
