,a,0.00,0.05,0.10,0.30,0.60
55,1.5387,1.65084791811e-07,9.84047881277e-08,1.08528387331e-07,1.07640685938e-07,9.38714438064e-08
56,1.544,1.6622839545e-07,9.90864746241e-08,1.09280203766e-07,1.08386352938e-07,9.45217261482e-08
57,1.5494,1.67392151552e-07,9.97801737302e-08,1.10045268633e-07,1.09145159988e-07,9.51834676913e-08
58,1.5548,1.68559967129e-07,1.00476292635e-07,1.1081300223e-07,1.09906613963e-07,9.58475175578e-08
59,1.5602,1.69731842182e-07,1.01174831336e-07,1.11583404566e-07,1.10670714833e-07,9.65138757433e-08
60,1.5656,1.70907776709e-07,1.01875789834e-07,1.12356475642e-07,1.11437462628e-07,9.7182542252e-08
61,1.571,1.72087770711e-07,1.02579168129e-07,1.13132215458e-07,1.12206857318e-07,9.78535170808e-08
62,1.5763,1.7325533705e-07,1.03275138471e-07,1.13899785209e-07,1.12968148786e-07,9.85174252283e-08
63,1.5817,1.7444339362e-07,1.03983322754e-07,1.14680825435e-07,1.13742800534e-07,9.91929846389e-08
64,1.5871,1.75635509663e-07,1.04693926833e-07,1.154645344e-07,1.14520099195e-07,9.98708523731e-08
65,1.5925,1.7683168518e-07,1.05406950709e-07,1.16250912105e-07,1.15300044775e-07,1.00551028427e-07
66,1.5979,1.78031920172e-07,1.06122394376e-07,1.17039958547e-07,1.16082637255e-07,1.01233512802e-07
67,1.6032,1.79219446123e-07,1.06830262364e-07,1.17820649941e-07,1.16856943038e-07,1.01908770492e-07
68,1.6086,1.80427743671e-07,1.07550512023e-07,1.18614996795e-07,1.1764479257e-07,1.02595839446e-07
69,1.614,1.816401007e-07,1.08273181477e-07,1.19412012387e-07,1.1843528903e-07,1.03285216723e-07
70,1.6194,1.82856517203e-07,1.08998270728e-07,1.20211696716e-07,1.19228432382e-07,1.03976902321e-07
71,1.6248,1.84076993179e-07,1.09725779775e-07,1.21014049784e-07,1.20024222661e-07,1.04670896238e-07
72,1.6302,1.85301528627e-07,1.10455708619e-07,1.21819071591e-07,1.2082265983e-07,1.05367198475e-07
