,theta i [rad],r orb [AU],v orb [km s-1],ang orb [rad],r L1 [AU],v i [km s-1],ang i [rad],a p [AU],e p,theta p i [rad],flag impact,v imp [km s-1],ang imp [rad]
0,0.0,1.62,36.4081270737,1.57079632679,0.770270273773,2.96387768138,1.57079632679,0.386609177772,0.992374516852,3.14159265359,1.0,615.981567932,0.922632884479
1,0.00773358953589,1.62000440406,36.4080370942,1.57149937518,0.770272367798,2.96388923427,1.57943259003,0.386610244349,0.992375007599,3.14165901268,1.0,615.981573072,0.922592367948
2,0.0154670949907,1.62001761594,36.4077671637,1.57220238464,0.770278649722,2.96392389146,1.58806868502,0.386613444006,0.9923764797,3.14172535466,1.0,615.981588491,0.922470834224
3,0.0232004322587,1.62003963471,36.407317306,1.57290531627,0.770289119104,2.96398164858,1.59670444348,0.386618776519,0.992378932738,3.14179166245,1.0,615.981614187,0.922268330889
4,0.030933517282,1.62007045879,36.4066875609,1.57360813115,0.770303775201,2.9640624983,1.60533969726,0.386626241512,0.992382366021,3.14185791896,1.0,615.981650158,0.921984937142
5,0.038666266026,1.62011008603,36.4058779842,1.5743107904,0.77032261698,2.96416643039,1.61397427826,0.386635838463,0.992386778577,3.14192410712,1.0,615.9816964,0.921620763659
6,0.0463985944962,1.62015851361,36.4048886474,1.57501325513,0.770345643108,2.96429343168,1.62260801852,0.386647566697,0.992392169158,3.14199020989,1.0,615.981752909,0.921175952375
7,0.0541304187485,1.62021573812,36.403719638,1.57571548649,0.770372851959,2.9644434861,1.63124075023,0.386661425392,0.99239853624,3.14205621024,1.0,615.981819678,0.92065067623
8,0.0618616548989,1.62028175552,36.4023710594,1.57641744566,0.770404241611,2.96461657468,1.63987230577,0.386677413575,0.992405878024,3.14212209119,1.0,615.9818967,0.920045138836
9,0.0695922191337,1.62035656113,36.4008430307,1.57711909383,0.770439809846,2.96481267551,1.64850251772,0.386695530126,0.992414192435,3.14218783578,1.0,615.981983968,0.919359574109
10,0.0773220277194,1.62044014969,36.3991356869,1.57782039223,0.770479554155,2.96503176381,1.65713121891,0.386715773773,0.992423477123,3.1422534271,1.0,615.982081473,0.918594245835
11,0.0850509970128,1.62053251528,36.3972491787,1.57852130215,0.77052347173,2.96527381191,1.66575824246,0.386738143097,0.992433729465,3.1423188483,1.0,615.982189204,0.917749447187
12,0.0927790434708,1.6206336514,36.3951836728,1.5792217849,0.770571559474,2.96553878925,1.67438342177,0.386762636531,0.992444946568,3.14238408257,1.0,615.982307151,0.916825500193
13,0.10050608366,1.62074355091,36.3929393513,1.57992180185,0.770623813994,2.9658266624,1.68300659059,0.386789252358,0.992457125265,3.14244911315,1.0,615.982435301,0.91582275516
14,0.108232034267,1.62086220605,36.3905164122,1.58062131441,0.770680231605,2.96613739508,1.69162758303,0.386817988715,0.992470262118,3.14251392337,1.0,615.982573642,0.914741590047
15,0.115956812109,1.62098960847,36.387915069,1.58132028405,0.770740808331,2.96647094814,1.70024623361,0.38684884359,0.992484353424,3.14257849659,1.0,615.982722158,0.913582409796
16,0.123680334142,1.62112574919,36.3851355508,1.58201867231,0.770805539903,2.96682727961,1.70886237723,0.386881814824,0.992499395209,3.14264281627,1.0,615.982880835,0.91234564563
17,0.131402517481,1.62127061861,36.3821781023,1.58271644078,0.770874421763,2.9672063447,1.71747584931,0.38691690011,0.992515383234,3.14270686596,1.0,615.983049656,0.911031754303
18,0.13912327937,1.62142420655,36.3790429837,1.58341355113,0.770947449061,2.96760809579,1.72608648569,0.386954096996,0.992532312997,3.14277062926,1.0,615.983228604,0.909641217333
19,0.146842537253,1.6215865022,36.3757304707,1.5841099651,0.771024616661,2.96803248248,1.73469412274,0.386993402881,0.992550179731,3.14283408988,1.0,615.98341766,0.908174540179
20,0.154560208739,1.62175749414,36.372240854,1.58480564449,0.771105919134,2.9684794516,1.74329859739,0.387034815021,0.992568978411,3.14289723162,1.0,615.983616806,0.90663225141
21,0.162276211629,1.62193717035,36.3685744401,1.58550055122,0.771191350768,2.9689489472,1.75189974711,0.387078330526,0.99258870375,3.14296003837,1.0,615.983826021,0.905014901846
22,0.169990463919,1.62212551823,36.3647315505,1.58619464725,0.771280905562,2.9694409106,1.76049740999,0.387123946359,0.992609350205,3.14302249415,1.0,615.984045283,0.903323063666
23,0.177702883813,1.62232252453,36.3607125219,1.58688789466,0.771374577231,2.96995528037,1.76909142472,0.38717165934,0.992630911979,3.14308458305,1.0,615.98427457,0.901557329508
24,0.18541338973,1.62252817546,36.3565177061,1.58758025561,0.771472359202,2.97049199241,1.77768163067,0.387221466145,0.992653383021,3.1431462893,1.0,615.984513859,0.899718311552
